GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,LA,NO
2023122100,2023-12-21,1,2,28,LA,NO,0,0,85,1,0,"8-L.HAVRISIK EXTRA POINT IS GOOD, CENTER-46-C.TINKER, HOLDER-42-E.EVANS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,16,752,0,0
2023122100,2023-12-21,1,2,28,LA,NO,0,0,100,1,0,TIMEOUT AT 02:28.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,752,0,0
2023122100,2023-12-21,1,2,28,NO,LA,1,10,25,0,0,"(2:28) 73-M.GARCIA REPORTED IN AS ELIGIBLE.  41-A.KAMARA RIGHT TACKLE TO NO 30 FOR 5 YARDS (52-L.MURCHISON, 95-B.BROWN).",0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,16,752,0,0
2023122100,2023-12-21,1,2,28,NO,LA,0,0,65,1,0,"42-E.EVANS KICKS 65 YARDS FROM LAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,16,752,0,0
2023122100,2023-12-21,1,1,54,NO,LA,2,5,30,1,0,(1:54) 4-D.CARR PASS DEEP RIGHT TO 22-R.SHAHEED TO NO 46 FOR 16 YARDS (44-A.WITHERSPOON).,0,2023,16,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,16,786,0,0
2023122100,2023-12-21,1,1,15,NO,LA,1,10,46,0,0,(1:15) (SHOTGUN) 21-J.WILLIAMS UP THE MIDDLE TO 50 FOR 4 YARDS (95-B.BROWN; 43-J.JOHNSON).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,46,OWN,0,,0,,0,16,825,0,0
2023122100,2023-12-21,1,0,40,NO,LA,2,6,100,0,0,(:40) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT RIGHT TO 87-F.MOREAU.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,860,0,0
2023122100,2023-12-21,1,0,36,NO,LA,3,6,100,1,0,(:36) (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 12-C.OLAVE TO LAR 44 FOR 6 YARDS (37-Q.LAKE).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,864,0,0
2023122100,2023-12-21,1,0,0,NO,LA,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,900,0,0
2023122100,2023-12-21,2,15,0,NO,LA,1,10,56,0,0,(15:00) (SHOTGUN) 41-A.KAMARA UP THE MIDDLE TO LAR 42 FOR 2 YARDS (52-L.MURCHISON).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,44,OPP,0,,0,,0,16,900,0,0
2023122100,2023-12-21,2,14,22,NO,LA,2,8,58,0,0,(14:22) (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 41-A.KAMARA TO LAR 39 FOR 3 YARDS (56-C.ROZEBOOM).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,16,938,0,0
2023122100,2023-12-21,2,13,42,NO,LA,3,5,61,0,0,(13:42) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT MIDDLE TO 12-C.OLAVE (37-Q.LAKE).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,16,978,0,0
2023122100,2023-12-21,2,13,38,NO,LA,4,5,61,0,0,(13:38) (SHOTGUN) 4-D.CARR SACKED AT LAR 48 FOR -9 YARDS (91-K.TURNER).,0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,16,982,0,0
2023122100,2023-12-21,2,13,32,LA,NO,0,0,100,1,0,TIMEOUT AT 13:32.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,988,0,0
2023122100,2023-12-21,2,13,32,LA,NO,1,10,52,1,0,(13:32) 9-M.STAFFORD PASS DEEP MIDDLE TO 17-P.NACUA TO NO 24 FOR 28 YARDS (31-J.HOWDEN).,0,2023,28,UNDER CENTER,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,16,988,0,0
2023122100,2023-12-21,2,12,50,LA,NO,1,10,76,0,0,"(12:50) (SHOTGUN) 23-K.WILLIAMS RIGHT TACKLE TO NO 20 FOR 4 YARDS (32-T.MATHIEU, 91-K.PHILLIPS).",0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,24,OPP,0,,0,,0,16,1030,0,0
2023122100,2023-12-21,2,12,9,LA,NO,2,6,80,1,0,(12:09) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 10-C.KUPP TO NO 9 FOR 11 YARDS (27-I.YIADOM).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,16,1071,0,0
2023122100,2023-12-21,2,11,34,LA,NO,1,9,91,0,0,(11:34) 23-K.WILLIAMS LEFT GUARD TO NO 6 FOR 3 YARDS (27-I.YIADOM; 93-N.SHEPHERD).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,9,OPP,0,,0,,0,16,1106,0,0
2023122100,2023-12-21,2,10,58,LA,NO,2,6,94,0,0,"(10:58) 23-K.WILLIAMS RIGHT END TO NO 2 FOR 4 YARDS (29-P.ADEBO, 20-P.WERNER).",0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,6,OPP,0,,0,,0,16,1142,0,0
2023122100,2023-12-21,2,10,30,LA,NO,3,2,98,0,0,"(10:30) (NO HUDDLE, SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT LEFT TO 10-C.KUPP.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,2,OPP,0,,0,,0,16,1170,0,0
2023122100,2023-12-21,2,10,26,LA,NO,4,2,98,0,0,"(10:26) 8-L.HAVRISIK 20 YARD FIELD GOAL IS GOOD, CENTER-46-C.TINKER, HOLDER-42-E.EVANS.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,2,OPP,0,,0,,0,16,1174,0,0
