GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,JAX,NO
2023101900,2023-10-19,1,5,16,JAX,NO,1,10,41,1,0,"(5:16) (SHOTGUN) 16-T.LAWRENCE PASS DEEP LEFT TO 13-C.KIRK TO NO 39 FOR 20 YARDS (29-P.ADEBO). FUMBLES (29-P.ADEBO), TOUCHED AT NO 40, RECOVERED BY NO-96-C.GRANDERSON AT NO 41.",0,2023,20,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,1,0,0,0,,41,OWN,0,,0,,0,584,0,0
2023101900,2023-10-19,1,5,2,NO,JAX,1,10,41,0,0,(5:02) 41-A.KAMARA RIGHT END TO NO 42 FOR 1 YARD (99-J.LEDBETTER; 44-T.WALKER).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,41,OWN,0,,0,,0,598,0,0
2023101900,2023-10-19,1,4,27,NO,JAX,2,9,42,0,0,(4:27) 4-D.CARR PASS SHORT MIDDLE TO 12-C.OLAVE TO NO 45 FOR 3 YARDS (33-D.LLOYD).,0,2023,3,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,633,0,0
2023101900,2023-10-19,1,3,49,NO,JAX,3,6,45,0,0,(3:49) (SHOTGUN) 4-D.CARR PASS INCOMPLETE DEEP MIDDLE TO 22-R.SHAHEED.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,671,0,0
2023101900,2023-10-19,1,3,44,NO,JAX,4,6,45,0,0,"(3:44) 39-L.HEDLEY PUNTS 40 YARDS TO JAX 15, CENTER-49-Z.WOOD. 29-T.CAMPBELL MUFFS CATCH, TOUCHED AT JAX 19, RECOVERED BY NO-28-L.JOHNSON AT JAX 17. JAX-39-J.AGNEW WAS INJURED DURING THE PLAY. HIS RETURN IS PROBABLE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,676,0,0
2023101900,2023-10-19,1,3,36,NO,JAX,1,10,83,0,0,(3:36) 21-J.WILLIAMS LEFT GUARD TO JAX 13 FOR 4 YARDS (33-D.LLOYD; 2-R.JENKINS).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,17,OPP,0,,0,,0,684,0,0
2023101900,2023-10-19,1,3,36,NO,JAX,0,0,100,1,0,TIMEOUT AT 03:36.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,684,0,0
2023101900,2023-10-19,1,3,0,NO,JAX,2,6,87,1,0,(3:00) (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 41-A.KAMARA TO JAX 6 FOR 7 YARDS (33-D.LLOYD; 30-M.BROWN).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,720,0,0
2023101900,2023-10-19,1,2,21,NO,JAX,1,6,94,0,0,(2:21) 41-A.KAMARA LEFT GUARD TO JAX 5 FOR 1 YARD (94-F.FATUKASI; 33-D.LLOYD).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,6,OPP,0,,0,,0,759,0,0
2023101900,2023-10-19,1,1,42,NO,JAX,2,5,95,0,0,(1:42) 70-T.PENNING REPORTED IN AS ELIGIBLE.  4-D.CARR PASS INCOMPLETE SHORT RIGHT TO 22-R.SHAHEED.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,798,0,0
2023101900,2023-10-19,1,1,33,NO,JAX,3,5,95,0,0,(1:33) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT LEFT TO 13-M.THOMAS (30-M.BROWN).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,807,0,0
2023101900,2023-10-19,1,1,29,NO,JAX,4,5,95,0,0,"(1:29) 19-B.GRUPE 23 YARD FIELD GOAL IS GOOD, CENTER-49-Z.WOOD, HOLDER-39-L.HEDLEY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,811,0,0
2023101900,2023-10-19,1,1,26,JAX,NO,1,10,25,0,0,(1:26) (SHOTGUN) 1-T.ETIENNE LEFT GUARD TO JAX 30 FOR 5 YARDS (20-P.WERNER).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,814,0,0
2023101900,2023-10-19,1,1,26,NO,JAX,0,0,100,1,0,TIMEOUT AT 01:26.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,814,0,0
2023101900,2023-10-19,1,1,26,JAX,NO,0,0,65,1,0,"19-B.GRUPE KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,814,0,0
2023101900,2023-10-19,1,0,47,JAX,NO,2,5,30,0,0,(:47) (SHOTGUN) 4-T.BIGSBY RIGHT GUARD TO JAX 32 FOR 2 YARDS (96-C.GRANDERSON; 94-C.JORDAN).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,30,OWN,0,,0,,0,853,0,0
2023101900,2023-10-19,1,0,6,JAX,NO,3,3,32,1,0,(:06) (SHOTGUN) 16-T.LAWRENCE PASS SHORT RIGHT TO 13-C.KIRK RAN OB AT JAX 41 FOR 9 YARDS.,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,894,0,0
2023101900,2023-10-19,2,15,0,JAX,NO,1,10,41,0,0,(15:00) (SHOTGUN) 16-T.LAWRENCE PASS SHORT LEFT TO 39-J.AGNEW TO 50 FOR 9 YARDS (1-A.TAYLOR).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,900,0,0
2023101900,2023-10-19,1,0,0,JAX,NO,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
