GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIN,SF
2023102300,2023-10-23,1,4,48,SF,MIN,0,0,65,1,0,"1-G.JOSEPH KICKS 65 YARDS FROM MIN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,7,612,0,0
2023102300,2023-10-23,1,4,48,MIN,SF,0,0,85,1,0,"1-G.JOSEPH EXTRA POINT IS GOOD, CENTER-42-A.DEPAOLA, HOLDER-14-R.WRIGHT.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,7,612,0,0
2023102300,2023-10-23,1,4,48,MIN,SF,0,0,100,1,0,TIMEOUT AT 04:48.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,7,612,0,0
2023102300,2023-10-23,1,4,5,SF,MIN,2,8,27,1,0,(4:05) 13-B.PURDY PASS SHORT LEFT TO 11-B.AIYUK TO SF 37 FOR 10 YARDS (58-J.HICKS).,0,2023,10,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,7,655,0,0
2023102300,2023-10-23,1,3,33,SF,MIN,1,10,37,0,0,"(3:33) (SHOTGUN) 23-C.MCCAFFREY UP THE MIDDLE TO SF 43 FOR 6 YARDS (58-J.HICKS, 24-C.BYNUM).",0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,37,OWN,0,,0,,0,7,687,0,0
2023102300,2023-10-23,1,2,49,SF,MIN,2,4,43,0,0,"(2:49) (SHOTGUN) PENALTY ON SF-85-G.KITTLE, FALSE START, 5 YARDS, ENFORCED AT SF 43 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,43,OWN,1,SF,1,FALSE START,5,7,731,0,0
2023102300,2023-10-23,1,2,27,SF,MIN,2,9,38,1,0,(2:27) (SHOTGUN) 13-B.PURDY PASS DEEP MIDDLE TO 15-J.JENNINGS TO MIN 44 FOR 18 YARDS (22-H.SMITH) [99-D.HUNTER].,0,2023,18,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,7,753,0,0
2023102300,2023-10-23,1,1,45,SF,MIN,1,10,56,0,0,(1:45) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE DEEP LEFT TO 85-G.KITTLE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,7,795,0,0
2023102300,2023-10-23,1,1,40,SF,MIN,2,10,56,1,0,(1:40) 13-B.PURDY SCRAMBLES RIGHT END RAN OB AT MIN 27 FOR 17 YARDS (7-B.MURPHY).,0,2023,17,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,7,800,0,0
2023102300,2023-10-23,1,0,58,SF,MIN,1,10,73,0,0,(:58) 13-B.PURDY PASS SHORT RIGHT TO 11-B.AIYUK PUSHED OB AT MIN 22 FOR 5 YARDS (22-H.SMITH).,0,2023,5,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,7,842,0,0
2023102300,2023-10-23,1,0,18,SF,MIN,2,5,78,0,0,(:18) (SHOTGUN) 23-C.MCCAFFREY RIGHT GUARD TO MIN 22 FOR NO GAIN (93-J.ROY).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,22,OPP,0,,0,,0,7,882,0,0
2023102300,2023-10-23,1,0,0,SF,MIN,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,7,900,0,0
