GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CHI,LV
2023102201,2023-10-22,1,10,16,LV,CHI,3,4,77,0,0,(10:16) (SHOTGUN) 7-B.HOYER PASS INCOMPLETE SHORT LEFT TO 17-D.ADAMS (29-T.STEVENSON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,284,0,0
2023102201,2023-10-22,1,10,12,LV,CHI,4,4,77,0,0,"(10:12) 2-D.CARLSON 41 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-50-J.BOBENMOYER, HOLDER-6-A.COLE.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,288,0,0
2023102201,2023-10-22,1,10,7,CHI,LV,1,10,31,0,0,(10:07) 13-T.SCOTT LEFT END PUSHED OB AT CHI 39 FOR 8 YARDS (20-I.POLA-MAO).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,31,OWN,0,,0,,0,293,0,0
2023102201,2023-10-22,1,10,7,CHI,LV,0,0,100,1,0,TIMEOUT AT 10:07.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,293,0,0
2023102201,2023-10-22,1,9,39,CHI,LV,2,2,39,0,0,"(9:39) (NO HUDDLE, SHOTGUN) 21-D.FOREMAN LEFT GUARD TO CHI 40 FOR 1 YARD (95-J.JENKINS, 41-R.SPILLANE).",0,2023,1,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,39,OWN,0,,0,,0,321,0,0
2023102201,2023-10-22,1,9,5,CHI,LV,3,1,40,1,0,(9:05) 21-D.FOREMAN RIGHT END TO CHI 44 FOR 4 YARDS (5-D.DEABLO).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,40,OWN,0,,0,,0,355,0,0
2023102201,2023-10-22,1,8,28,CHI,LV,1,10,44,0,0,"(8:28) (SHOTGUN) 17-T.BAGENT PASS SHORT LEFT TO 2-D.MOORE TO CHI 49 FOR 5 YARDS (23-D.LONG, 20-I.POLA-MAO).",0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,392,0,0
2023102201,2023-10-22,1,7,48,CHI,LV,2,5,49,0,0,"(7:48) (SHOTGUN) 17-T.BAGENT PASS SHORT RIGHT TO 12-V.JONES TO CHI 49 FOR NO GAIN (41-R.SPILLANE, 98-M.CROSBY).",0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,432,0,0
2023102201,2023-10-22,1,7,4,CHI,LV,3,5,49,1,0,(7:04) (SHOTGUN) 17-T.BAGENT PASS SHORT MIDDLE TO 13-T.SCOTT TO LV 38 FOR 13 YARDS (23-D.LONG).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,476,0,0
2023102201,2023-10-22,1,6,34,CHI,LV,1,10,62,0,0,(6:34) (NO HUDDLE) 11-D.MOONEY LEFT END PUSHED OB AT LV 36 FOR 2 YARDS (41-R.SPILLANE).,0,2023,2,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,38,OPP,0,,0,,0,506,0,0
2023102201,2023-10-22,1,6,6,CHI,LV,2,8,64,1,0,"(6:06) (NO HUDDLE, SHOTGUN) 21-D.FOREMAN LEFT END TO LV 23 FOR 13 YARDS (21-A.ROBERTSON; 25-T.MOEHRIG).",0,2023,13,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,36,OPP,0,,0,,0,534,0,0
