GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,SEA,ARI
2023102207,2023-10-22,1,4,47,ARI,SEA,0,0,65,1,0,5-J.MYERS KICKS 61 YARDS FROM SEA 35 TO ARI 4. 83-G.DORTCH TO ARI 19 FOR 15 YARDS (59-J.RHATTIGAN).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,613,0,0
2023102207,2023-10-22,1,4,47,SEA,ARI,0,0,100,1,0,TIMEOUT AT 04:47.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,613,0,0
2023102207,2023-10-22,1,4,47,SEA,ARI,0,0,85,1,0,"5-J.MYERS EXTRA POINT IS GOOD, CENTER-41-C.STOLL, HOLDER-4-M.DICKSON.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,613,0,0
2023102207,2023-10-22,1,4,42,ARI,SEA,1,10,19,0,0,(4:42) (SHOTGUN) 9-J.DOBBS RIGHT END TO ARI 20 FOR 1 YARD (54-B.WAGNER).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,19,OWN,0,,0,,0,618,0,0
2023102207,2023-10-22,1,3,59,ARI,SEA,2,9,20,0,0,"(3:59) (SHOTGUN) 9-J.DOBBS SCRAMBLES UP THE MIDDLE TO ARI 25 FOR 5 YARDS (54-B.WAGNER). PENALTY ON ARI, ILLEGAL SHIFT, 5 YARDS, ENFORCED AT ARI 20 - NO PLAY.",0,2023,5,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,1,0,0,,20,OWN,1,ARI,1,ILLEGAL SHIFT,5,661,0,0
2023102207,2023-10-22,1,3,39,ARI,SEA,2,14,15,0,0,(3:39) (SHOTGUN) 9-J.DOBBS PASS INCOMPLETE SHORT LEFT TO 2-M.BROWN (52-D.TAYLOR).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,681,0,0
2023102207,2023-10-22,1,3,36,ARI,SEA,3,14,15,0,0,(3:36) (SHOTGUN) 9-J.DOBBS PASS INCOMPLETE DEEP LEFT TO 2-M.BROWN (21-D.WITHERSPOON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,684,0,0
2023102207,2023-10-22,1,3,30,ARI,SEA,4,14,15,0,0,"(3:30) 12-B.GILLIKIN PUNTS 57 YARDS TO SEA 28, CENTER-46-A.BREWER. 31-D.DALLAS TO SEA 32 FOR 4 YARDS (32-J.BLOUNT). FUMBLES (32-J.BLOUNT), RECOVERED BY ARI-45-D.GARDECK AT SEA 32. 45-D.GARDECK TO SEA 30 FOR 2 YARDS (13-C.THOMPSON).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,1,0,0,0,,15,OWN,0,,0,,0,690,0,0
2023102207,2023-10-22,1,3,19,ARI,SEA,1,10,70,0,0,(3:19) 31-E.DEMERCADO LEFT TACKLE TO SEA 29 FOR 1 YARD (90-JA.REED; 55-D.JONES).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,30,OPP,0,,0,,0,701,0,0
2023102207,2023-10-22,1,2,39,ARI,SEA,2,9,71,0,0,(2:39) 9-J.DOBBS PASS SHORT LEFT TO 31-E.DEMERCADO PUSHED OB AT SEA 26 FOR 3 YARDS (27-T.WOOLEN).,0,2023,3,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,741,0,0
