GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,PHI,MIA
2023102210,2023-10-22,1,2,32,MIA,PHI,1,6,94,0,0,"(2:32) 31-R.MOSTERT UP THE MIDDLE TO PHI 7 FOR -1 YARDS (41-N.MORROW, 93-M.WILLIAMS).",0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,6,OPP,0,,0,,0,7,748,0,0
2023102210,2023-10-22,1,1,50,MIA,PHI,2,7,93,0,0,(1:50) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT RIGHT TO 10-T.HILL TO PHI 12 FOR -5 YARDS (2-D.SLAY).,0,2023,-5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,7,790,0,0
2023102210,2023-10-22,1,1,10,MIA,PHI,3,12,88,0,0,"(1:10) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT MIDDLE TO 10-T.HILL FOR 12 YARDS, TOUCHDOWN NULLIFIED BY PENALTY. PENALTY ON MIA-66-L.COTTON, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT PHI 12 - NO PLAY.",0,2023,12,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,1,0,0,,12,OPP,1,MIA,1,OFFENSIVE HOLDING,10,7,830,0,0
2023102210,2023-10-22,1,1,6,MIA,PHI,3,22,78,0,0,(1:06) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE SHORT LEFT TO 10-T.HILL.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,7,834,0,0
2023102210,2023-10-22,1,1,3,MIA,PHI,4,22,78,0,0,"(1:03) 7-J.SANDERS 40 YARD FIELD GOAL IS GOOD, CENTER-44-B.FERGUSON, HOLDER-16-J.BAILEY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,7,837,0,0
2023102210,2023-10-22,1,0,59,PHI,MIA,0,0,100,1,0,TIMEOUT AT 00:59.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,7,841,0,0
2023102210,2023-10-22,1,0,59,PHI,MIA,0,0,65,1,0,7-J.SANDERS KICKS 64 YARDS FROM MIA 35 TO PHI 1. 35-B.SCOTT TO PHI 39 FOR 38 YARDS (8-J.HOLLAND).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,7,841,0,0
2023102210,2023-10-22,1,0,52,PHI,MIA,1,10,39,0,0,(:52) (SHOTGUN) 0-D.SWIFT RIGHT END TO PHI 46 FOR 7 YARDS (15-J.PHILLIPS).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,39,OWN,0,,0,,0,7,848,0,0
2023102210,2023-10-22,1,0,9,PHI,MIA,2,3,46,1,0,(:09) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 6-D.SMITH TO MIA 46 FOR 8 YARDS (8-J.HOLLAND).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,7,891,0,0
2023102210,2023-10-22,2,15,0,PHI,MIA,1,10,54,0,0,(15:00) (SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 88-D.GOEDERT TO MIA 42 FOR 4 YARDS (51-D.LONG).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,7,900,0,0
