GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,KC,LAC
2023102209,2023-10-22,4,3,19,LAC,KC,3,10,25,0,0,(3:19) (SHOTGUN) 10-J.HERBERT SACKED AT LAC 19 FOR -6 YARDS (51-M.DANNA).,0,2023,-6,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,7,3401,0,0
2023102209,2023-10-22,4,2,40,LAC,KC,4,16,19,1,0,(2:40) (SHOTGUN) 10-J.HERBERT PASS DEEP RIGHT TO 5-J.PALMER TO LAC 38 FOR 19 YARDS (38-L.SNEED).,0,2023,19,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,7,3440,0,0
2023102209,2023-10-22,4,2,15,LAC,KC,1,10,38,0,0,"(2:15) (NO HUDDLE, SHOTGUN) 10-J.HERBERT PASS SHORT RIGHT TO 84-S.SMARTT RAN OB AT LAC 43 FOR 5 YARDS (38-L.SNEED).",0,2023,5,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,7,3465,0,0
2023102209,2023-10-22,4,2,10,LAC,KC,2,5,43,0,0,(2:10) (SHOTGUN) 10-J.HERBERT PASS INCOMPLETE DEEP RIGHT TO 1-Q.JOHNSTON [98-T.WHARTON].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,7,3470,0,0
2023102209,2023-10-22,4,2,3,LAC,KC,3,5,43,1,0,(2:03) (SHOTGUN) 10-J.HERBERT PASS SHORT RIGHT TO 5-J.PALMER PUSHED OB AT KC 35 FOR 22 YARDS (23-D.TRANQUILL).,0,2023,22,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,7,3477,0,0
2023102209,2023-10-22,4,1,57,LAC,KC,0,0,100,1,0,TWO-MINUTE WARNING,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,7,3483,0,0
2023102209,2023-10-22,4,1,57,LAC,KC,1,10,65,0,0,(1:57) (SHOTGUN) 10-J.HERBERT SACKED AT KC 44 FOR -9 YARDS (23-D.TRANQUILL).,0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,7,3483,0,0
2023102209,2023-10-22,4,1,30,LAC,KC,2,19,56,0,0,"(1:30) (NO HUDDLE, SHOTGUN) PENALTY ON LAC-79-T.PIPKINS, FALSE START, 5 YARDS, ENFORCED AT KC 44 - NO PLAY.",0,2023,0,NO HUDDLE SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,44,OPP,1,LAC,1,FALSE START,5,7,3510,0,0
2023102209,2023-10-22,4,1,17,LAC,KC,2,24,51,0,0,(1:17) (SHOTGUN) 10-J.HERBERT PASS DEEP LEFT INTENDED FOR 13-K.ALLEN INTERCEPTED BY 6-B.COOK [95-C.JONES] AT KC 22. 6-B.COOK TO KC 31 FOR 9 YARDS (5-J.PALMER).,0,2023,9,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,1,0,0,0,0,,49,OPP,0,,0,,0,7,3523,0,0
2023102209,2023-10-22,4,1,7,KC,LAC,1,10,31,0,0,(1:07) 15-P.MAHOMES KNEELS TO KC 30 FOR -1 YARDS.,0,2023,0,UNDER CENTER,QB KNEEL,0,0,0,0,,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,7,3533,0,0
2023102209,2023-10-22,4,0,35,KC,LAC,2,11,30,0,0,(:35) 15-P.MAHOMES KNEELS TO KC 29 FOR -1 YARDS.,0,2023,0,UNDER CENTER,QB KNEEL,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,7,3565,0,0
2023102209,2023-10-22,4,0,0,KC,LAC,0,0,100,1,0,END GAME,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,7,3600,0,0
