GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NE,MIA
2023091712,2023-09-17,1,3,0,NE,MIA,1,10,25,0,0,(3:00) 15-E.ELLIOTT LEFT END TO NE 27 FOR 2 YARDS (94-C.WILKINS).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,2,720,0,0
2023091712,2023-09-17,1,2,27,NE,MIA,2,8,27,0,0,(2:27) (SHOTGUN) 10-M.JONES PASS SHORT LEFT TO 84-K.BOURNE PUSHED OB AT NE 32 FOR 5 YARDS (33-E.APPLE).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,2,753,0,0
2023091712,2023-09-17,1,1,57,NE,MIA,3,3,32,0,0,"(1:57) (SHOTGUN) 10-M.JONES PASS SHORT LEFT TO 1-D.PARKER TO NE 43 FOR 11 YARDS (33-E.APPLE). PENALTY ON MIA-33-E.APPLE, DEFENSIVE HOLDING, DECLINED.",0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,32,OWN,0,MIA,0,DEFENSIVE HOLDING,0,2,783,0,0
2023091712,2023-09-17,1,1,38,NE,MIA,1,10,43,0,0,(1:38) (SHOTGUN) 10-M.JONES PASS SHORT RIGHT TO 85-H.HENRY TO MIA 48 FOR 9 YARDS (8-J.HOLLAND).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,2,802,0,0
2023091712,2023-09-17,1,1,14,NE,MIA,2,1,52,1,0,"(1:14) (NO HUDDLE, SHOTGUN) 15-E.ELLIOTT RIGHT GUARD TO MIA 41 FOR 7 YARDS (55-J.BAKER, 98-R.DAVIS).",0,2023,7,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,48,OPP,0,,0,,0,2,826,0,0
2023091712,2023-09-17,1,0,52,NE,MIA,1,10,59,0,0,"(:52) (NO HUDDLE, SHOTGUN) 15-E.ELLIOTT UP THE MIDDLE TO MIA 39 FOR 2 YARDS (51-D.LONG, 92-Z.SIELER).",0,2023,2,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,41,OPP,0,,0,,0,2,848,0,0
2023091712,2023-09-17,1,0,16,NE,MIA,2,8,61,0,0,(:16) (SHOTGUN) 10-M.JONES PASS INCOMPLETE DEEP LEFT TO 84-K.BOURNE (33-E.APPLE).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,2,884,0,0
2023091712,2023-09-17,1,0,10,NE,MIA,3,8,61,1,0,"(:10) (SHOTGUN) 10-M.JONES PASS SHORT MIDDLE TO 81-D.DOUGLAS TO MIA 29 FOR 10 YARDS (2-B.CHUBB). FUMBLES (2-B.CHUBB), RECOVERED BY MIA-21-D.ELLIOTT AT MIA 27.",0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,,39,OPP,0,,0,,0,2,890,0,0
2023091712,2023-09-17,1,0,0,NE,MIA,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2,900,0,0
2023091712,2023-09-17,2,15,0,MIA,NE,1,10,27,0,0,(15:00) (SHOTGUN) 31-R.MOSTERT LEFT END TO MIA 30 FOR 3 YARDS (91-D.WISE; 21-A.PHILLIPS).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,27,OWN,0,,0,,0,2,900,0,0
