GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LA,SF
2023091709,2023-09-17,1,2,39,LA,SF,3,13,70,0,0,(2:39) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 17-P.NACUA TO SF 25 FOR 5 YARDS (95-D.JACKSON).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,741,0,0
2023091709,2023-09-17,1,2,0,LA,SF,4,8,75,0,0,"(2:00) 8-B.MAHER 43 YARD FIELD GOAL IS GOOD, CENTER-47-A.WARD, HOLDER-42-E.EVANS.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,780,0,0
2023091709,2023-09-17,1,1,54,SF,LA,0,0,65,1,0,"42-E.EVANS KICKS 65 YARDS FROM LAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,786,0,0
2023091709,2023-09-17,1,1,54,LA,SF,0,0,100,1,0,TIMEOUT AT 01:54.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,786,0,0
2023091709,2023-09-17,1,1,54,SF,LA,1,10,25,0,0,(1:54) (SHOTGUN) 23-C.MCCAFFREY LEFT END TO SF 28 FOR 3 YARDS (92-J.WILLIAMS).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,786,0,0
2023091709,2023-09-17,1,1,17,SF,LA,2,7,28,1,0,(1:17) (SHOTGUN) 13-B.PURDY PASS SHORT MIDDLE TO 19-D.SAMUEL TO SF 36 FOR 8 YARDS (2-R.YEAST).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,823,0,0
2023091709,2023-09-17,1,0,33,SF,LA,1,10,36,1,0,(:33) 23-C.MCCAFFREY LEFT END PUSHED OB AT LAR 13 FOR 51 YARDS (44-A.WITHERSPOON).,0,2023,51,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,36,OWN,0,,0,,0,867,0,0
2023091709,2023-09-17,2,15,0,SF,LA,1,10,87,0,0,(15:00) 23-C.MCCAFFREY LEFT END PUSHED OB AT LAR 12 FOR 1 YARD (1-D.KENDRICK; 56-C.ROZEBOOM).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,13,OPP,0,,0,,0,900,0,0
2023091709,2023-09-17,1,0,0,SF,LA,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023091709,2023-09-17,2,14,21,SF,LA,2,9,88,0,0,(14:21) (SHOTGUN) 23-C.MCCAFFREY UP THE MIDDLE TO LAR 9 FOR 3 YARDS (53-E.JONES; 0-B.YOUNG).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,12,OPP,0,,0,,0,939,0,0
2023091709,2023-09-17,2,13,39,SF,LA,3,6,91,0,0,"(13:39) (SHOTGUN) 13-B.PURDY PASS SHORT RIGHT TO 11-B.AIYUK TO LAR 6 FOR 3 YARDS (14-C.DURANT). LOS ANGELES RAMS CHALLENGED THE PASS COMPLETION RULING, AND THE PLAY WAS REVERSED. (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT RIGHT TO 11-B.AIYUK (14-C.DURANT).",0,2023,3,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,1,1,,0,0,0,0,0,,9,OPP,0,,0,,0,981,0,0
2023091709,2023-09-17,2,13,35,SF,LA,4,6,91,0,0,"(13:35) 4-J.MOODY 27 YARD FIELD GOAL IS GOOD, CENTER-46-T.PEPPER, HOLDER-18-M.WISHNOWSKY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,9,OPP,0,,0,,0,985,0,0
2023091709,2023-09-17,2,13,32,LA,SF,0,0,100,1,0,TIMEOUT AT 13:32.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,988,0,0
2023091709,2023-09-17,2,13,32,LA,SF,0,0,65,1,0,"4-J.MOODY KICKS 57 YARDS FROM SF 35 TO LAR 8, OUT OF BOUNDS.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,988,0,0
2023091709,2023-09-17,2,13,32,LA,SF,1,10,60,0,0,(13:32) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT MIDDLE TO 17-P.NACUA (7-C.WARD).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,988,0,0
2023091709,2023-09-17,2,13,28,LA,SF,2,10,60,0,0,(13:28) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 89-T.HIGBEE RAN OB AT LAR 46 FOR 6 YARDS.,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,992,0,0
2023091709,2023-09-17,2,12,54,LA,SF,3,4,54,1,0,(12:54) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 17-P.NACUA PUSHED OB AT SF 34 FOR 20 YARDS (2-D.LENOIR).,0,2023,20,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,1026,0,0
2023091709,2023-09-17,2,12,16,LA,SF,1,10,66,1,0,(12:16) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 23-K.WILLIAMS TO SF 24 FOR 10 YARDS (57-D.GREENLAW).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,1064,0,0
