GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,PHI,MIN
2023091400,2023-09-14,1,4,34,PHI,MIN,1,10,100,0,0,(4:34) (SHOTGUN) 1-J.HURTS SACKED AT PHI 43 FOR -7 YARDS (99-D.HUNTER).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,626,0,0
2023091400,2023-09-14,1,3,50,PHI,MIN,2,17,43,0,0,"(3:50) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 88-D.GOEDERT TO PHI 44 FOR 1 YARD (25-TH.JACKSON, 21-A.EVANS).",0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,670,0,0
2023091400,2023-09-14,1,3,4,PHI,MIN,3,16,44,0,0,(3:04) (SHOTGUN) 1-J.HURTS PASS DEEP MIDDLE INTENDED FOR 6-D.SMITH INTERCEPTED BY 25-TH.JACKSON AT MIN 35. 25-TH.JACKSON TO MIN 35 FOR NO GAIN (6-D.SMITH).,0,2023,0,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,1,0,0,0,0,,44,OWN,0,,0,,0,716,0,0
2023091400,2023-09-14,1,2,58,MIN,PHI,1,10,35,0,0,"(2:58) 2-A.MATTISON LEFT TACKLE TO MIN 37 FOR 2 YARDS (29-A.MADDOX; 28-J.JOBE). FUMBLES (29-A.MADDOX), RECOVERED BY PHI-30-J.EVANS AT MIN 39. 30-J.EVANS TO MIN 39 FOR NO GAIN (2-A.MATTISON).",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,1,0,0,0,LEFT TACKLE,35,OWN,0,,0,,0,722,0,0
2023091400,2023-09-14,1,2,58,PHI,MIN,0,0,100,1,0,TIMEOUT AT 02:58.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,722,0,0
2023091400,2023-09-14,1,2,50,PHI,MIN,1,10,61,0,0,(2:50) (SHOTGUN) 1-J.HURTS LEFT END TO MIN 39 FOR NO GAIN (58-J.HICKS).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,39,OPP,0,,0,,0,730,0,0
2023091400,2023-09-14,1,2,14,PHI,MIN,2,10,61,0,0,(2:14) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 11-A.BROWN TO MIN 34 FOR 5 YARDS (58-J.HICKS).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,766,0,0
2023091400,2023-09-14,1,1,29,PHI,MIN,3,5,66,0,0,"(1:29) (SHOTGUN) 1-J.HURTS LEFT TACKLE TO MIN 37 FOR -3 YARDS (58-J.HICKS, 98-D.WONNUM).",0,2023,-3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,34,OPP,0,,0,,0,811,0,0
2023091400,2023-09-14,1,0,48,PHI,MIN,4,8,63,0,0,"(:48) 4-J.ELLIOTT 55 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-45-R.LOVATO, HOLDER-10-A.SIPOSS.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,852,0,0
2023091400,2023-09-14,1,0,42,PHI,MIN,0,0,100,1,0,TIMEOUT AT 00:42.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,858,0,0
