GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,WAS,DEN
2023091711,2023-09-17,4,13,29,WAS,DEN,1,2,98,1,0,"(13:29) (SHOTGUN) 8-B.ROBINSON UP THE MIDDLE FOR 2 YARDS, TOUCHDOWN.",0,2023,2,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,CENTER,2,OPP,0,,0,,0,2791,0,0
2023091711,2023-09-17,4,13,25,DEN,WAS,0,0,100,1,0,TIMEOUT AT 13:25.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2795,0,0
2023091711,2023-09-17,4,13,25,DEN,WAS,0,0,65,1,0,"6-J.SLYE KICKS 65 YARDS FROM WAS 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,2795,0,0
2023091711,2023-09-17,4,13,25,WAS,DEN,0,0,85,1,0,"6-J.SLYE EXTRA POINT IS GOOD, CENTER-54-C.CHEESEMAN, HOLDER-5-T.WAY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,2795,0,0
2023091711,2023-09-17,4,13,25,DEN,WAS,1,10,25,0,0,"(13:25) 3-R.WILSON PASS INCOMPLETE DEEP RIGHT TO 10-J.JEUDY (13-E.FORBES). PENALTY ON WAS-13-E.FORBES, ILLEGAL USE OF HANDS, 5 YARDS, ENFORCED AT DEN 25 - NO PLAY.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,25,OWN,1,WAS,1,ILLEGAL USE OF HANDS,5,2795,0,0
2023091711,2023-09-17,4,13,20,DEN,WAS,1,10,30,0,0,(13:20) 33-J.WILLIAMS RIGHT TACKLE TO DEN 31 FOR 1 YARD (94-D.PAYNE).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,30,OWN,0,,0,,0,2800,0,0
2023091711,2023-09-17,4,12,41,DEN,WAS,2,9,31,0,0,"(12:41) (NO HUDDLE, SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT MIDDLE TO 33-J.WILLIAMS [94-D.PAYNE].",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,2839,0,0
2023091711,2023-09-17,4,12,38,DEN,WAS,3,9,31,0,0,(12:38) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT RIGHT [57-C.BARTON].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,2842,0,0
2023091711,2023-09-17,4,12,32,DEN,WAS,4,9,31,0,0,"(12:32) 9-R.DIXON PUNTS 44 YARDS TO WAS 25, CENTER-48-M.FRABONI. 83-J.CROWDER TO WAS 31 FOR 6 YARDS (32-D.TURNER-YELL). DEN-32-D.TURNER-YELL WAS INJURED DURING THE PLAY.  PENALTY ON DEN-1-T.SMITH, PLAYER OUT OF BOUNDS ON KICK, 5 YARDS, ENFORCED AT WAS 31.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,31,OWN,1,DEN,0,PLAYER OUT OF BOUNDS ON KICK,5,2848,0,0
2023091711,2023-09-17,4,12,22,DEN,WAS,0,0,100,1,0,TIMEOUT AT 12:22.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2858,0,0
