GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,TEN,JAX,Week
2024010702,2024-01-07,3,13,29,TEN,JAX,1,4,96,0,0,(13:29) 22-D.HENRY UP THE MIDDLE TO JAX 6 FOR -2 YARDS (2-R.JENKINS).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,4,OPP,0,,0,,0,1891,0,0,18
2024010702,2024-01-07,3,12,49,TEN,JAX,2,6,94,1,0,"(12:49) (SHOTGUN) 17-R.TANNEHILL PASS SHORT MIDDLE TO 10-D.HOPKINS FOR 6 YARDS, TOUCHDOWN.",0,2023,6,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,1931,0,0,18
2024010702,2024-01-07,3,12,45,TEN,JAX,0,0,85,1,0,"6-N.FOLK EXTRA POINT IS GOOD, CENTER-46-M.COX, HOLDER-13-T.ZENTNER.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,1935,0,0,18
2024010702,2024-01-07,3,12,45,TEN,JAX,0,0,100,1,0,TIMEOUT AT 12:45.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1935,0,0,18
2024010702,2024-01-07,3,7,9,TEN,JAX,1,10,29,0,0,(7:09) 22-D.HENRY UP THE MIDDLE TO TEN 36 FOR 7 YARDS (32-TY.CAMPBELL).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,29,OWN,0,,0,,0,2271,0,0,18
2024010702,2024-01-07,3,7,9,TEN,JAX,0,0,100,1,0,TIMEOUT AT 07:09.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2271,0,0,18
2024010702,2024-01-07,3,6,28,TEN,JAX,2,3,36,0,0,"(6:28) (SHOTGUN) 22-D.HENRY LEFT TACKLE TO TEN 37 FOR 1 YARD (41-J.ALLEN, 32-TY.CAMPBELL).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,36,OWN,0,,0,,0,2312,0,0,18
2024010702,2024-01-07,3,5,46,TEN,JAX,3,2,37,0,0,"(5:46) (SHOTGUN) PENALTY ON TEN-75-D.RADUNZ, FALSE START, 5 YARDS, ENFORCED AT TEN 37 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,37,OWN,1,TEN,1,FALSE START,5,2354,0,0,18
2024010702,2024-01-07,3,5,24,TEN,JAX,3,7,32,0,0,(5:24) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE SHORT LEFT TO 11-C.MOORE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,2376,0,0,18
2024010702,2024-01-07,3,5,20,TEN,JAX,4,7,32,0,0,"(5:20) 13-T.ZENTNER PUNTS 45 YARDS TO JAX 23, CENTER-46-M.COX. 11-P.WASHINGTON RAN OB AT JAX 37 FOR 14 YARDS (41-O.REESE).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,2380,0,0,18
