GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BAL,TEN
2023101500,2023-10-15,1,2,17,BAL,TEN,2,4,76,1,0,"(2:17) (NO HUDDLE, SHOTGUN) 35-G.EDWARDS RIGHT END TO TEN 16 FOR 8 YARDS (98-J.SIMMONS).",0,2023,8,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,24,OPP,0,,0,,0,6,763,0,0
2023101500,2023-10-15,1,1,37,BAL,TEN,1,10,84,0,0,(1:37) 35-G.EDWARDS LEFT END TO TEN 11 FOR 5 YARDS (2-A.AL-SHAAIR).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,16,OPP,0,,0,,0,6,803,0,0
2023101500,2023-10-15,1,0,52,BAL,TEN,2,5,89,0,0,"(:52) (SHOTGUN) 43-J.HILL RIGHT TACKLE TO TEN 10 FOR 1 YARD (50-J.GIBBENS, 90-N.JONES).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,11,OPP,0,,0,,0,6,848,0,0
2023101500,2023-10-15,1,0,12,BAL,TEN,3,4,90,0,0,(:12) (SHOTGUN) 8-L.JACKSON PASS INCOMPLETE SHORT LEFT TO 3-O.BECKHAM.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,10,OPP,0,,0,,0,6,888,0,0
2023101500,2023-10-15,1,0,7,BAL,TEN,4,4,90,0,0,"(:07) 9-J.TUCKER 28 YARD FIELD GOAL IS GOOD, CENTER-69-T.OTT, HOLDER-11-J.STOUT.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,10,OPP,0,,0,,0,6,893,0,0
2023101500,2023-10-15,1,0,4,TEN,BAL,1,10,25,0,0,(:04) 22-D.HENRY RIGHT GUARD TO TEN 27 FOR 2 YARDS (97-B.URBAN; 0-R.SMITH). BAL-97-B.URBAN WAS INJURED DURING THE PLAY. HE IS OUT.,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,6,896,0,0
2023101500,2023-10-15,1,0,4,TEN,BAL,0,0,65,1,0,"9-J.TUCKER KICKS 58 YARDS FROM BAL 35 TO TEN 7, FAIR CATCH BY 32-T.SPEARS.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,6,896,0,0
2023101500,2023-10-15,2,15,0,TEN,BAL,2,8,27,0,0,(15:00) (SHOTGUN) 17-R.TANNEHILL PASS SHORT LEFT TO 85-C.OKONKWO PUSHED OB AT TEN 34 FOR 7 YARDS (40-M.HARRISON).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,6,900,0,0
2023101500,2023-10-15,1,0,0,TEN,BAL,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,6,900,0,0
2023101500,2023-10-15,2,14,25,TEN,BAL,3,1,34,0,0,"(14:25) (SHOTGUN) 78-N.PETIT-FRERE REPORTED IN AS ELIGIBLE. DIRECT SNAP TO 22-D.HENRY.  22-D.HENRY RIGHT TACKLE TO TEN 48 FOR 14 YARDS (14-K.HAMILTON, 32-M.WILLIAMS). PENALTY ON TEN, ILLEGAL FORMATION, 4 YARDS, ENFORCED AT TEN 34 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,34,OWN,1,TEN,1,ILLEGAL FORMATION,4,6,935,0,0
