GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CLE,SF
2023101504,2023-10-15,1,1,15,CLE,SF,0,0,100,1,0,TIMEOUT AT 01:15.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,825,0,0
2023101504,2023-10-15,1,1,8,CLE,SF,1,10,44,0,0,(1:08) 66-J.HUDSON REPORTED IN AS ELIGIBLE.  34-J.FORD LEFT TACKLE TO CLE 40 FOR -4 YARDS (45-D.FLANNIGAN-FOWLES).,0,2023,-4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,44,OWN,0,,0,,0,832,0,0
2023101504,2023-10-15,1,0,24,CLE,SF,2,14,40,0,0,(:24) (SHOTGUN) 10-P.WALKER PASS SHORT RIGHT TO 8-E.MOORE PUSHED OB AT CLE 42 FOR 2 YARDS (7-C.WARD).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,876,0,0
2023101504,2023-10-15,2,15,0,CLE,SF,3,12,42,0,0,(15:00) (SHOTGUN) 10-P.WALKER PASS SHORT LEFT TO 8-E.MOORE PUSHED OB AT CLE 48 FOR 6 YARDS (2-D.LENOIR).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,900,0,0
2023101504,2023-10-15,1,0,0,CLE,SF,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023101504,2023-10-15,2,14,29,CLE,SF,4,6,48,0,0,"(14:29) 13-C.BOJORQUEZ PUNTS 35 YARDS TO SF 17, CENTER-47-C.HUGHLETT. 3-R.MCCLOUD TO SF 17 FOR NO GAIN (20-P.STRONG).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,931,0,0
2023101504,2023-10-15,2,14,22,SF,CLE,1,10,17,1,0,(14:22) 3-R.MCCLOUD LEFT END RAN OB AT SF 32 FOR 15 YARDS (23-M.EMERSON).,0,2023,15,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,17,OWN,0,,0,,0,938,0,0
2023101504,2023-10-15,2,13,52,SF,CLE,1,10,32,1,0,(13:52) 13-B.PURDY PASS SHORT RIGHT TO 11-B.AIYUK TO CLE 35 FOR 33 YARDS (23-M.EMERSON).,0,2023,33,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,968,0,0
2023101504,2023-10-15,2,13,17,SF,CLE,1,10,65,0,0,(13:17) 23-C.MCCAFFREY LEFT TACKLE PUSHED OB AT CLE 34 FOR 1 YARD (23-M.EMERSON).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,35,OPP,0,,0,,0,1003,0,0
2023101504,2023-10-15,2,12,42,SF,CLE,2,9,66,0,0,"(12:42) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT MIDDLE TO 11-B.AIYUK. PENALTY ON CLE-95-M.GARRETT, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT CLE 34 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,1,0,0,,34,OPP,1,CLE,1,DEFENSIVE OFFSIDE,5,1038,0,0
