GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,LA,ARI
2023101510,2023-10-15,1,0,35,LA,ARI,1,10,84,0,0,"(:35) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE DEEP MIDDLE TO 17-P.NACUA. PENALTY ON ARI-20-MA.WILSON, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT ARI 16 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,1,0,0,,16,OPP,1,ARI,1,DEFENSIVE HOLDING,5,6,865,0,0
2023101510,2023-10-15,1,0,30,LA,ARI,1,10,89,0,0,(:30) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT MIDDLE TO 17-P.NACUA.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,6,870,0,0
2023101510,2023-10-15,1,0,26,LA,ARI,2,10,89,0,0,(:26) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT MIDDLE TO 10-C.KUPP.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,6,874,0,0
2023101510,2023-10-15,1,0,19,LA,ARI,3,10,89,0,0,(:19) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT RIGHT TO 17-P.NACUA.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,6,881,0,0
2023101510,2023-10-15,1,0,15,LA,ARI,4,10,89,0,0,"(:15) 8-B.MAHER 29 YARD FIELD GOAL IS GOOD, CENTER-47-A.WARD, HOLDER-42-E.EVANS.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,6,885,0,0
2023101510,2023-10-15,1,0,11,ARI,LA,1,10,25,1,0,(:11) 9-J.DOBBS PASS SHORT RIGHT TO 85-T.MCBRIDE PUSHED OB AT ARI 41 FOR 16 YARDS (4-J.FULLER).,0,2023,16,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,6,889,0,0
2023101510,2023-10-15,1,0,11,LA,ARI,0,0,100,1,0,TIMEOUT AT 00:11.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,6,889,0,0
2023101510,2023-10-15,1,0,11,ARI,LA,0,0,65,1,0,"42-E.EVANS KICKS 65 YARDS FROM LAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,6,889,0,0
2023101510,2023-10-15,1,0,0,ARI,LA,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,6,900,0,0
2023101510,2023-10-15,2,15,0,ARI,LA,1,10,41,0,0,(15:00) (SHOTGUN) 9-J.DOBBS PASS SHORT RIGHT TO 4-R.MOORE RAN OB AT ARI 46 FOR 5 YARDS (97-M.HOECHT).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,6,900,0,0
2023101510,2023-10-15,2,14,23,ARI,LA,2,5,46,0,0,(14:23) (SHOTGUN) 9-J.DOBBS RIGHT END TO ARI 40 FOR -6 YARDS (99-A.DONALD).,0,2023,-6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,46,OWN,0,,0,,0,6,937,0,0
2023101510,2023-10-15,2,13,43,ARI,LA,3,11,40,0,0,(13:43) (SHOTGUN) 9-J.DOBBS PASS INCOMPLETE SHORT MIDDLE TO 86-Z.ERTZ.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,6,977,0,0
