GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NYJ,NYG
2023102905,2023-10-29,1,6,13,NYG,NYJ,1,10,16,0,0,(6:13) (SHOTGUN) 2-T.TAYLOR PASS INCOMPLETE SHORT LEFT TO 12-D.WALLER (21-A.DAVIS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,16,OWN,0,,0,,0,8,527,0,0
2023102905,2023-10-29,1,6,13,NYG,NYJ,0,0,100,1,0,TIMEOUT AT 06:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,8,527,0,0
2023102905,2023-10-29,1,6,6,NYG,NYJ,2,10,16,0,0,(6:06) 26-S.BARKLEY RIGHT END TO NYG 19 FOR 3 YARDS (47-B.HUFF).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,16,OWN,0,,0,,0,8,534,0,0
2023102905,2023-10-29,1,5,30,NYG,NYJ,3,7,19,0,0,(5:30) (SHOTGUN) 2-T.TAYLOR SCRAMBLES UP THE MIDDLE TO NYG 20 FOR 1 YARD (57-C.MOSLEY; 47-B.HUFF).,0,2023,1,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,8,570,0,0
2023102905,2023-10-29,1,4,55,NYG,NYJ,4,6,20,0,0,"(4:55) 6-J.GILLAN PUNTS 41 YARDS TO NYJ 39, CENTER-59-C.KREITER, FAIR CATCH BY 82-X.GIPSON.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,8,605,0,0
2023102905,2023-10-29,1,4,49,NYJ,NYG,1,10,39,0,0,"(4:49) (SHOTGUN) PENALTY ON NYJ-78-L.TOMLINSON, FALSE START, 5 YARDS, ENFORCED AT NYJ 39 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,39,OWN,1,NYJ,1,FALSE START,5,8,611,0,0
2023102905,2023-10-29,1,4,49,NYJ,NYG,1,15,34,0,0,(4:49) (SHOTGUN) 2-Z.WILSON PASS SHORT LEFT TO 17-G.WILSON TO NYJ 48 FOR 14 YARDS (25-D.BANKS).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,8,611,0,0
2023102905,2023-10-29,1,4,49,NYG,NYJ,0,0,100,1,0,TIMEOUT AT 04:49.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,8,611,0,0
2023102905,2023-10-29,1,4,4,NYJ,NYG,2,1,48,1,0,(4:04) (SHOTGUN) 33-D.COOK RIGHT END TO NYJ 49 FOR 1 YARD (41-M.MCFADDEN).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,48,OWN,0,,0,,0,8,656,0,0
2023102905,2023-10-29,1,3,25,NYJ,NYG,1,10,49,0,0,(3:25) (SHOTGUN) 2-Z.WILSON PASS INCOMPLETE SHORT LEFT TO 17-G.WILSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,8,695,0,0
