GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,SF,CIN
2023102912,2023-10-29,2,13,30,SF,CIN,0,0,100,1,0,TIMEOUT AT 13:30.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,8,990,0,0
2023102912,2023-10-29,2,13,30,CIN,SF,1,10,20,0,0,(13:30) (SHOTGUN) 9-J.BURROW PASS SHORT RIGHT TO 81-I.SMITH PUSHED OB AT CIN 24 FOR 4 YARDS (54-F.WARNER).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,8,990,0,0
2023102912,2023-10-29,2,12,58,CIN,SF,2,6,24,0,0,(12:58) 28-J.MIXON UP THE MIDDLE TO CIN 28 FOR 4 YARDS (54-F.WARNER).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,24,OWN,0,,0,,0,8,1022,0,0
2023102912,2023-10-29,2,12,18,CIN,SF,3,2,28,0,0,"(12:18) (SHOTGUN) 9-J.BURROW PASS SHORT RIGHT TO 1-J.CHASE TO CIN 35 FOR 7 YARDS (7-C.WARD; 31-T.GIPSON). PENALTY ON SF-26-I.OLIVER, LOWERING THE HEAD TO MAKE FORCIBLE CONTACT, 15 YARDS, ENFORCED AT CIN 35.",0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,28,OWN,1,SF,0,LOWERING THE HEAD TO MAKE FORCIBLE CONTACT,15,8,1062,0,0
2023102912,2023-10-29,2,11,51,CIN,SF,1,10,100,0,0,(11:51) (SHOTGUN) 9-J.BURROW SCRAMBLES UP THE MIDDLE TO SF 49 FOR 1 YARD (97-N.BOSA).,0,2023,1,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,8,1089,0,0
2023102912,2023-10-29,2,11,12,CIN,SF,2,9,51,0,0,(11:12) (SHOTGUN) 9-J.BURROW PASS SHORT LEFT TO 1-J.CHASE TO SF 49 FOR NO GAIN (26-I.OLIVER).,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,8,1128,0,0
2023102912,2023-10-29,2,10,32,CIN,SF,3,9,51,1,0,(10:32) (SHOTGUN) 9-J.BURROW UP THE MIDDLE TO SF 39 FOR 10 YARDS (29-T.HUFANGA).,0,2023,10,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,49,OPP,0,,0,,0,8,1168,0,0
2023102912,2023-10-29,2,10,32,CIN,SF,0,0,100,1,0,TIMEOUT #1 BY SF AT 10:32.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,8,1168,0,0
2023102912,2023-10-29,2,9,53,CIN,SF,1,10,61,1,0,(9:53) (SHOTGUN) 9-J.BURROW PASS SHORT LEFT TO 81-I.SMITH TO SF 28 FOR 11 YARDS (57-D.GREENLAW).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,8,1207,0,0
2023102912,2023-10-29,2,9,12,CIN,SF,1,10,72,0,0,(9:12) (SHOTGUN) 28-J.MIXON RIGHT END TO SF 25 FOR 3 YARDS (5-R.GREGORY).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,28,OPP,0,,0,,0,8,1248,0,0
