GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,MIA,NE
2023102904,2023-10-29,1,4,21,NE,MIA,2,10,70,0,0,(4:21) 38-R.STEVENSON UP THE MIDDLE TO MIA 24 FOR 6 YARDS (21-D.ELLIOTT).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,30,OPP,0,,0,,0,639,0,0
2023102904,2023-10-29,1,3,39,NE,MIA,3,4,76,1,0,"(3:39) (SHOTGUN) 10-M.JONES PASS SHORT MIDDLE TO 84-K.BOURNE FOR 24 YARDS, TOUCHDOWN.",0,2023,24,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,681,0,0
2023102904,2023-10-29,1,3,32,MIA,NE,0,0,65,1,0,"37-C.RYLAND KICKS 65 YARDS FROM NE 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,688,0,0
2023102904,2023-10-29,1,3,32,MIA,NE,0,0,100,1,0,TIMEOUT AT 03:32.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,688,0,0
2023102904,2023-10-29,1,3,32,NE,MIA,0,0,85,1,0,"37-C.RYLAND EXTRA POINT IS GOOD, CENTER-49-J.CARDONA, HOLDER-17-B.BARINGER.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,688,0,0
2023102904,2023-10-29,1,3,32,MIA,NE,1,10,25,0,0,(3:32) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT MIDDLE TO 17-J.WADDLE PUSHED OB AT MIA 34 FOR 9 YARDS (23-K.DUGGER).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,688,0,0
2023102904,2023-10-29,1,2,56,MIA,NE,2,1,34,1,0,(2:56) (SHOTGUN) 23-J.WILSON RIGHT GUARD TO MIA 38 FOR 4 YARDS (92-D.GODCHAUX).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,34,OWN,0,,0,,0,724,0,0
2023102904,2023-10-29,1,2,18,MIA,NE,1,10,38,0,0,(2:18) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT LEFT TO 30-A.INGOLD TO MIA 43 FOR 5 YARDS (8-J.BENTLEY).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,762,0,0
2023102904,2023-10-29,1,1,43,MIA,NE,2,5,43,1,0,"(1:43) (SHOTGUN) 23-J.WILSON LEFT END PUSHED OB AT NE 46 FOR 11 YARDS (8-J.BENTLEY, 5-J.PEPPERS).",0,2023,11,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,43,OWN,0,,0,,0,797,0,0
2023102904,2023-10-29,1,1,7,MIA,NE,1,10,54,0,0,"(1:07) (SHOTGUN) 23-J.WILSON RIGHT END TO NE 42 FOR 4 YARDS (8-J.BENTLEY, 48-JA.TAVAI).",0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,46,OPP,0,,0,,0,833,0,0
