GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DET,LV
2023103000,2023-10-30,1,4,4,DET,LV,4,10,11,0,0,"(4:04) 3-J.FOX PUNTS 48 YARDS TO LV 41, CENTER-47-S.DALY, FAIR CATCH BY 3-D.CARTER.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,656,0,0
2023103000,2023-10-30,1,3,55,LV,DET,1,10,41,0,0,(3:55) 8-J.JACOBS UP THE MIDDLE TO LV 46 FOR 5 YARDS (46-J.CAMPBELL).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,41,OWN,0,,0,,0,665,0,0
2023103000,2023-10-30,1,3,55,DET,LV,0,0,100,1,0,TIMEOUT AT 03:55.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,665,0,0
2023103000,2023-10-30,1,3,29,LV,DET,2,5,46,0,0,(3:29) 8-J.JACOBS UP THE MIDDLE TO 50 FOR 4 YARDS (32-B.BRANCH).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,46,OWN,0,,0,,0,691,0,0
2023103000,2023-10-30,1,3,14,LV,DET,3,1,100,0,0,(3:14) (NO HUDDLE) 8-J.JACOBS LEFT END TO LV 49 FOR -1 YARDS (34-A.ANZALONE).,0,2023,-1,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,0,OPP,0,,0,,0,706,0,0
2023103000,2023-10-30,1,2,36,LV,DET,4,2,49,0,0,(2:36) (SHOTGUN) 10-J.GAROPPOLO PASS INCOMPLETE DEEP RIGHT TO 13-H.RENFROW.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,744,0,0
2023103000,2023-10-30,1,2,29,DET,LV,1,10,51,1,0,(2:29) 16-J.GOFF PASS SHORT RIGHT TO 14-A.ST. BROWN TO LV 37 FOR 12 YARDS (25-T.MOEHRIG).,0,2023,12,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,751,0,0
2023103000,2023-10-30,1,1,59,DET,LV,1,10,63,0,0,(1:59) (SHOTGUN) 16-J.GOFF PASS SHORT MIDDLE TO 14-A.ST. BROWN TO LV 29 FOR 8 YARDS (59-L.MASTERSON).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,781,0,0
2023103000,2023-10-30,1,1,35,DET,LV,2,2,71,1,0,(1:35) (SHOTGUN) 26-J.GIBBS LEFT TACKLE TO LV 21 FOR 8 YARDS (1-M.EPPS).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,29,OPP,0,,0,,0,805,0,0
2023103000,2023-10-30,1,1,7,DET,LV,1,10,79,0,0,(1:07) (NO HUDDLE) 26-J.GIBBS LEFT TACKLE TO LV 22 FOR -1 YARDS (1-M.EPPS).,0,2023,-1,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,21,OPP,0,,0,,0,833,0,0
