GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,BUF,TB
2023102600,2023-10-26,1,4,26,TB,BUF,4,2,68,0,0,"(4:26) 4-C.MCLAUGHLIN 50 YARD FIELD GOAL IS BLOCKED (90-S.LAWSON), CENTER-97-Z.TRINER, HOLDER-5-J.CAMARDA.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,634,0,0
2023102600,2023-10-26,1,4,21,BUF,TB,0,0,100,1,0,TIMEOUT AT 04:21.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,639,0,0
2023102600,2023-10-26,1,4,21,BUF,TB,1,10,40,1,0,(4:21) 17-J.ALLEN PASS SHORT MIDDLE TO 14-S.DIGGS TO TB 43 FOR 17 YARDS (24-C.DAVIS) [9-J.TRYON].,0,2023,17,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,639,0,0
2023102600,2023-10-26,1,3,48,BUF,TB,1,10,57,0,0,"(3:48) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 13-G.DAVIS PUSHED OB AT TB 41 FOR 2 YARDS (31-A.WINFIELD). PENALTY ON BUF-16-T.SHERFIELD, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT TB 43 - NO PLAY.",0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,43,OPP,1,BUF,1,OFFENSIVE HOLDING,10,672,0,0
2023102600,2023-10-26,1,3,33,BUF,TB,1,20,47,0,0,"(3:33) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 13-G.DAVIS TO TB 44 FOR 9 YARDS (35-J.DEAN).",0,2023,9,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,687,0,0
2023102600,2023-10-26,1,3,6,BUF,TB,2,11,56,0,0,"(3:06) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 4-J.COOK TO TB 38 FOR 6 YARDS (7-S.BARRETT; 54-L.DAVID).",0,2023,6,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,714,0,0
2023102600,2023-10-26,1,2,31,BUF,TB,3,5,62,1,0,"(2:31) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS DEEP RIGHT TO 10-K.SHAKIR TO TB 8 FOR 30 YARDS (23-R.NEAL).",0,2023,30,NO HUDDLE SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,749,0,0
2023102600,2023-10-26,1,1,51,BUF,TB,1,8,92,0,0,"(1:51) (NO HUDDLE, SHOTGUN) 4-J.COOK RIGHT GUARD TO TB 4 FOR 4 YARDS (35-J.DEAN).",0,2023,4,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,8,OPP,0,,0,,0,789,0,0
2023102600,2023-10-26,1,1,12,BUF,TB,2,4,96,0,0,(1:12) (SHOTGUN) 17-J.ALLEN PASS SHORT MIDDLE TO 86-D.KINCAID TO TB 1 FOR 3 YARDS (54-L.DAVID).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,4,OPP,0,,0,,0,828,0,0
2023102600,2023-10-26,1,0,37,BUF,TB,3,1,99,0,0,(:37) (SHOTGUN) 28-L.MURRAY UP THE MIDDLE TO TB 1 FOR NO GAIN (7-S.BARRETT; 54-L.DAVID).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,1,OPP,0,,0,,0,863,0,0
2023102600,2023-10-26,1,0,0,BUF,TB,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023102600,2023-10-26,2,15,0,BUF,TB,4,1,99,0,0,(15:00) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT LEFT TO 86-D.KINCAID (35-J.DEAN).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,1,OPP,0,,0,,0,900,0,0
2023102600,2023-10-26,2,14,57,TB,BUF,1,10,1,0,0,(14:57) 22-C.EDMONDS UP THE MIDDLE TO TB 3 FOR 2 YARDS (90-S.LAWSON).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,1,OWN,0,,0,,0,903,0,0
2023102600,2023-10-26,2,14,15,TB,BUF,2,8,3,0,0,(14:15) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT MIDDLE TO 22-C.EDMONDS (97-J.PHILLIPS) [50-G.ROUSSEAU].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,3,OWN,0,,0,,0,945,0,0
2023102600,2023-10-26,2,14,9,TB,BUF,3,8,3,0,0,(14:09) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT MIDDLE TO 10-T.PALMER (43-T.BERNARD). PASS TIPPED AT TB 14.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,3,OWN,0,,0,,0,951,0,0
