GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CIN,KC
2023123113,2023-12-31,1,2,58,CIN,KC,1,10,25,0,0,"(2:58) 30-C.BROWN LEFT END TO CIN 28 FOR 3 YARDS (54-L.CHENAL, 98-T.WHARTON).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,17,722,0,0
2023123113,2023-12-31,1,2,17,CIN,KC,2,7,28,0,0,(2:17) (SHOTGUN) 6-J.BROWNING PASS SHORT RIGHT TO 89-D.SAMPLE PUSHED OB AT CIN 33 FOR 5 YARDS (54-L.CHENAL).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,17,763,0,0
2023123113,2023-12-31,1,1,36,CIN,KC,3,2,33,1,0,(1:36) (SHOTGUN) 6-J.BROWNING PASS DEEP RIGHT TO 1-J.CHASE TO KC 43 FOR 24 YARDS (20-J.REID).,0,2023,24,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,17,804,0,0
2023123113,2023-12-31,1,0,59,CIN,KC,1,10,57,0,0,(:59) 28-J.MIXON LEFT END TO KC 39 FOR 4 YARDS (32-N.BOLTON; 69-M.PENNEL).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,43,OPP,0,,0,,0,17,841,0,0
2023123113,2023-12-31,1,0,19,CIN,KC,2,6,61,1,0,(:19) (SHOTGUN) 28-J.MIXON RIGHT END TO KC 30 FOR 9 YARDS (32-N.BOLTON).,0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,39,OPP,0,,0,,0,17,881,0,0
2023123113,2023-12-31,1,0,0,CIN,KC,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,900,0,0
2023123113,2023-12-31,2,15,0,CIN,KC,1,10,70,0,0,"(15:00) 61-C.FORD REPORTED IN AS ELIGIBLE.  28-J.MIXON LEFT END TO KC 29 FOR 1 YARD (32-N.BOLTON, 54-L.CHENAL).",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,30,OPP,0,,0,,0,17,900,0,0
2023123113,2023-12-31,2,14,15,CIN,KC,2,9,71,1,0,(14:15) 6-J.BROWNING PASS SHORT RIGHT TO 89-D.SAMPLE TO KC 18 FOR 11 YARDS (32-N.BOLTON).,0,2023,11,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,17,945,0,0
2023123113,2023-12-31,2,13,31,CIN,KC,1,10,82,0,0,(13:31) 30-C.BROWN RIGHT END TO KC 16 FOR 2 YARDS (56-G.KARLAFTIS).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,18,OPP,0,,0,,0,17,989,0,0
2023123113,2023-12-31,2,13,31,CIN,KC,0,0,100,1,0,TIMEOUT #1 BY CIN AT 13:31.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,989,0,0
2023123113,2023-12-31,2,12,51,CIN,KC,2,8,84,1,0,(12:51) (SHOTGUN) 6-J.BROWNING PASS SHORT LEFT TO 28-J.MIXON TO KC 6 FOR 10 YARDS (22-T.MCDUFFIE).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,17,1029,0,0
2023123113,2023-12-31,2,12,9,CIN,KC,1,6,94,0,0,(12:09) (SHOTGUN) 28-J.MIXON RIGHT GUARD TO KC 7 FOR -1 YARDS (90-C.OMENIHU).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,6,OPP,0,,0,,0,17,1071,0,0
2023123113,2023-12-31,2,11,32,CIN,KC,2,7,93,1,0,"(11:32) (SHOTGUN) 6-J.BROWNING PASS SHORT RIGHT TO 28-J.MIXON FOR 7 YARDS, TOUCHDOWN.",0,2023,7,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,17,1108,0,0
2023123113,2023-12-31,2,11,29,KC,CIN,0,0,100,1,0,TIMEOUT AT 11:29.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,1111,0,0
2023123113,2023-12-31,2,11,29,CIN,KC,0,0,85,1,0,"2-E.MCPHERSON EXTRA POINT IS GOOD, CENTER-48-C.ADOMITIS, HOLDER-10-B.ROBBINS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,17,1111,0,0
