GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CHI,ATL
2023123103,2023-12-31,1,4,5,ATL,CHI,2,5,77,0,0,(4:05) (SHOTGUN) 7-B.ROBINSON RIGHT TACKLE TO CHI 24 FOR -1 YARDS (53-T.EDWARDS).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,23,OPP,0,,0,,0,655,0,0
2023123103,2023-12-31,1,3,26,ATL,CHI,3,6,76,0,0,"(3:26) (NO HUDDLE, SHOTGUN) 4-T.HEINICKE PASS INCOMPLETE DEEP LEFT TO 15-V.JEFFERSON [95-D.WALKER].",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,694,0,0
2023123103,2023-12-31,1,3,22,ATL,CHI,4,6,76,0,0,"(3:22) 6-Y.KOO 42 YARD FIELD GOAL IS NO GOOD, HIT LEFT UPRIGHT, CENTER-49-L.MCCULLOUGH, HOLDER-13-B.PINION.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,698,0,0
2023123103,2023-12-31,1,3,17,CHI,ATL,1,10,32,0,0,(3:17) (SHOTGUN) 24-K.HERBERT RIGHT TACKLE TO CHI 32 FOR NO GAIN (3-J.BATES).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,32,OWN,0,,0,,0,703,0,0
2023123103,2023-12-31,1,3,17,CHI,ATL,0,0,100,1,0,TIMEOUT AT 03:17.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,703,0,0
2023123103,2023-12-31,1,2,52,CHI,ATL,2,10,32,0,0,(2:52) (SHOTGUN) 1-J.FIELDS RIGHT END PUSHED OB AT CHI 35 FOR 3 YARDS (96-Z.HARRISON).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,32,OWN,0,,0,,0,728,0,0
2023123103,2023-12-31,1,2,15,CHI,ATL,3,7,35,1,0,(2:15) (SHOTGUN) 1-J.FIELDS PASS DEEP LEFT TO 2-D.MOORE RAN OB AT ATL 33 FOR 32 YARDS.,0,2023,32,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,765,0,0
2023123103,2023-12-31,1,1,36,CHI,ATL,1,10,67,0,0,(1:36) (SHOTGUN) 1-J.FIELDS SCRAMBLES LEFT END PUSHED OB AT ATL 24 FOR 9 YARDS (55-K.ELLISS).,0,2023,9,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,804,0,0
2023123103,2023-12-31,1,0,56,CHI,ATL,2,1,76,1,0,"(:56) 12-V.JONES RIGHT TACKLE TO ATL 22 FOR 2 YARDS (53-N.LANDMAN, 95-T.GRAHAM). ATL-96-Z.HARRISON WAS INJURED DURING THE PLAY. HIS RETURN IS QUESTIONABLE.",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,24,OPP,0,,0,,0,844,0,0
2023123103,2023-12-31,1,0,20,CHI,ATL,1,10,78,0,0,(:20) 24-K.HERBERT LEFT END TO ATL 19 FOR 3 YARDS (37-D.HELLAMS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,22,OPP,0,,0,,0,880,0,0
