GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NE,BUF
2023123102,2023-12-31,1,8,41,NE,BUF,1,10,16,1,0,(8:41) (SHOTGUN) 4-B.ZAPPE PASS SHORT LEFT INTENDED FOR 1-D.PARKER INTERCEPTED BY 31-R.DOUGLAS AT NE 24. 31-R.DOUGLAS TO NE 14 FOR 10 YARDS (86-P.BROWN).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,1,0,0,0,0,,16,OWN,0,,0,,0,17,379,0,0
2023123102,2023-12-31,1,8,41,BUF,NE,0,0,100,1,0,TIMEOUT AT 08:41.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,379,0,0
2023123102,2023-12-31,1,8,34,BUF,NE,1,10,86,0,0,(8:34) (SHOTGUN) 4-J.COOK LEFT END TO NE 8 FOR 6 YARDS (28-A.AUSTIN).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,14,OPP,0,,0,,0,17,386,0,0
2023123102,2023-12-31,1,7,53,BUF,NE,2,4,92,1,0,"(7:53) (SHOTGUN) 14-S.DIGGS RIGHT TACKLE TO NE 3 FOR 5 YARDS (8-J.BENTLEY, 91-D.WISE).",0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,8,OPP,0,,0,,0,17,427,0,0
2023123102,2023-12-31,1,7,13,BUF,NE,1,3,97,0,0,(7:13) (SHOTGUN) 17-J.ALLEN UP THE MIDDLE TO NE 1 FOR 2 YARDS (2-J.MILLS; 90-C.BARMORE).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,3,OPP,0,,0,,0,17,467,0,0
2023123102,2023-12-31,1,6,40,BUF,NE,2,1,99,1,0,"(6:40) 17-J.ALLEN LEFT GUARD FOR 1 YARD, TOUCHDOWN.",0,2023,1,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT GUARD,1,OPP,0,,0,,0,17,500,0,0
2023123102,2023-12-31,1,6,37,BUF,NE,0,0,85,1,0,"2-T.BASS EXTRA POINT IS GOOD, CENTER-69-R.FERGUSON, HOLDER-8-S.MARTIN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,17,503,0,0
2023123102,2023-12-31,1,6,37,NE,BUF,0,0,65,1,0,"2-T.BASS KICKS 65 YARDS FROM BUF 35 TO END ZONE, TOUCHBACK. KICK THROUGH END ZONE.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,17,503,0,0
2023123102,2023-12-31,1,6,37,NE,BUF,1,10,25,0,0,(6:37) (SHOTGUN) 15-E.ELLIOTT RIGHT GUARD TO NE 25 FOR NO GAIN (59-K.JONATHAN).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,17,503,0,0
2023123102,2023-12-31,1,5,57,NE,BUF,2,10,25,0,0,"(5:57) (SHOTGUN) 4-B.ZAPPE PASS SHORT LEFT TO 86-P.BROWN TO NE 30 FOR 5 YARDS (47-C.BENFORD). FUMBLES (47-C.BENFORD), RECOVERED BY BUF-47-C.BENFORD AT NE 30. 47-C.BENFORD TO NE 30 FOR NO GAIN (86-P.BROWN).",0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,,25,OWN,0,,0,,0,17,543,0,0
2023123102,2023-12-31,1,5,51,BUF,NE,1,10,70,0,0,(5:51) (SHOTGUN) 4-J.COOK RIGHT TACKLE TO NE 25 FOR 5 YARDS (8-J.BENTLEY).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,30,OPP,0,,0,,0,17,549,0,0
2023123102,2023-12-31,1,5,11,BUF,NE,2,5,75,1,0,(5:11) (SHOTGUN) 17-J.ALLEN SCRAMBLES LEFT TACKLE RAN OB AT NE 18 FOR 7 YARDS (8-J.BENTLEY).,0,2023,7,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,17,589,0,0
2023123102,2023-12-31,1,4,32,BUF,NE,1,10,82,0,0,(4:32) (SHOTGUN) 17-J.ALLEN RIGHT GUARD TO NE 19 FOR -1 YARDS. LATERAL TO 10-K.SHAKIR TO NE 8 FOR 11 YARDS (27-M.BRYANT).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,18,OPP,0,,0,,0,17,628,0,0
2023123102,2023-12-31,1,3,45,BUF,NE,1,8,92,0,0,(3:45) (SHOTGUN) 17-J.ALLEN RIGHT TACKLE TO NE 7 FOR 1 YARD (33-A.JENNINGS).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,8,OPP,0,,0,,0,17,675,0,0
2023123102,2023-12-31,1,3,9,BUF,NE,2,7,93,0,0,"(3:09) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 10-K.SHAKIR TO NE 6 FOR 1 YARD (28-A.AUSTIN, 2-J.MILLS).",0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,17,711,0,0
2023123102,2023-12-31,1,2,23,BUF,NE,3,6,94,0,0,(2:23) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT LEFT TO 86-D.KINCAID.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,17,757,0,0
2023123102,2023-12-31,1,2,19,BUF,NE,4,6,94,0,0,"(2:19) 2-T.BASS 24 YARD FIELD GOAL IS GOOD, CENTER-69-R.FERGUSON, HOLDER-8-S.MARTIN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,17,761,0,0
2023123102,2023-12-31,1,2,16,NE,BUF,1,10,25,0,0,(2:16) (SHOTGUN) 4-B.ZAPPE PASS INCOMPLETE SHORT RIGHT TO 15-E.ELLIOTT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,17,764,0,0
2023123102,2023-12-31,1,2,16,BUF,NE,0,0,100,1,0,TIMEOUT AT 02:16.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,764,0,0
2023123102,2023-12-31,1,2,16,NE,BUF,0,0,65,1,0,"2-T.BASS KICKS 65 YARDS FROM BUF 35 TO END ZONE, TOUCHBACK. KICK THROUGH END ZONE.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,17,764,0,0
2023123102,2023-12-31,1,2,12,NE,BUF,2,10,25,0,0,(2:12) 81-D.DOUGLAS RIGHT TACKLE TO NE 26 FOR 1 YARD (7-TA.JOHNSON).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,17,768,0,0
2023123102,2023-12-31,1,1,31,NE,BUF,3,9,26,0,0,(1:31) (SHOTGUN) 4-B.ZAPPE SACKED AT NE 18 FOR -8 YARDS (91-E.OLIVER).,0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,17,809,0,0
2023123102,2023-12-31,1,1,1,NE,BUF,4,17,18,0,0,"(1:01) 17-B.BARINGER PUNTS 47 YARDS TO BUF 35, CENTER-49-J.CARDONA, FAIR CATCH BY 11-D.HARTY.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,17,839,0,0
2023123102,2023-12-31,1,0,54,BUF,NE,1,10,35,0,0,"(:54) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT MIDDLE TO 88-D.KNOX. PENALTY ON NE-2-J.MILLS, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT BUF 35 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,1,0,0,,35,OWN,1,NE,1,UNNECESSARY ROUGHNESS,15,17,846,0,0
2023123102,2023-12-31,1,0,49,BUF,NE,1,10,100,0,0,(:49) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 86-D.KINCAID TO NE 46 FOR 4 YARDS (99-K.WHITE).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,851,0,0
2023123102,2023-12-31,1,0,21,BUF,NE,2,6,54,0,0,"(:21) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS INCOMPLETE DEEP LEFT TO 4-J.COOK.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,17,879,0,0
2023123102,2023-12-31,1,0,17,BUF,NE,3,6,54,0,0,(:17) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT LEFT TO 13-G.DAVIS [3-M.WILSON].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,17,883,0,0
2023123102,2023-12-31,1,0,13,BUF,NE,4,6,54,0,0,"(:13) 8-S.MARTIN PUNTS 41 YARDS TO NE 5, CENTER-69-R.FERGUSON, DOWNED BY BUF-33-S.NEAL.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,17,887,0,0
2023123102,2023-12-31,1,0,4,NE,BUF,1,10,5,1,0,"(:04) 36-K.HARRIS UP THE MIDDLE TO NE 20 FOR 15 YARDS (23-M.HYDE, 47-C.BENFORD).",0,2023,15,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,5,OWN,0,,0,,0,17,896,0,0
2023123102,2023-12-31,2,15,0,NE,BUF,1,10,20,0,0,"(15:00) 36-K.HARRIS RIGHT GUARD TO NE 20 FOR NO GAIN (21-J.POYER, 25-T.DODSON).",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,20,OWN,0,,0,,0,17,900,0,0
2023123102,2023-12-31,1,0,0,NE,BUF,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,900,0,0
2023123102,2023-12-31,2,14,20,NE,BUF,2,10,20,1,0,(14:20) 4-B.ZAPPE PASS SHORT RIGHT TO 1-D.PARKER TO NE 35 FOR 15 YARDS (21-J.POYER) [98-P.FORD].,0,2023,15,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,17,940,0,0
2023123102,2023-12-31,2,13,36,NE,BUF,1,10,35,0,0,(13:36) 4-B.ZAPPE PASS INCOMPLETE SHORT RIGHT [90-S.LAWSON]. THROWN AWAY UNDER PRESSURE.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,17,984,0,0
2023123102,2023-12-31,2,13,29,NE,BUF,2,10,35,0,0,(13:29) 4-B.ZAPPE PASS SHORT LEFT TO 81-D.DOUGLAS TO NE 34 FOR -1 YARDS (57-A.EPENESA).,0,2023,-1,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,17,991,0,0
2023123102,2023-12-31,2,12,47,NE,BUF,3,11,34,1,0,"(12:47) (SHOTGUN) 4-B.ZAPPE PASS SHORT LEFT INTENDED FOR 83-J.REAGOR INTERCEPTED BY 31-R.DOUGLAS AT NE 40. 31-R.DOUGLAS FOR 40 YARDS, TOUCHDOWN.",0,2023,40,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,1,0,0,0,0,,34,OWN,0,,0,,0,17,1033,0,0
2023123102,2023-12-31,2,12,36,BUF,NE,0,0,85,1,0,"2-T.BASS EXTRA POINT IS GOOD, CENTER-69-R.FERGUSON, HOLDER-8-S.MARTIN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,17,1044,0,0
2023123102,2023-12-31,2,12,36,BUF,NE,0,0,100,1,0,TIMEOUT AT 12:36.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,1044,0,0
2023123102,2023-12-31,2,12,36,NE,BUF,0,0,65,1,0,"2-T.BASS KICKS 65 YARDS FROM BUF 35 TO END ZONE, TOUCHBACK. KICK THROUGH END ZONE.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,17,1044,0,0
2023123102,2023-12-31,2,12,36,NE,BUF,1,10,25,0,0,"(12:36) 15-E.ELLIOTT RIGHT TACKLE TO NE 31 FOR 6 YARDS (43-T.BERNARD, 21-J.POYER).",0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,17,1044,0,0
2023123102,2023-12-31,2,11,53,NE,BUF,2,4,31,0,0,(11:53) 15-E.ELLIOTT RIGHT END TO NE 29 FOR -2 YARDS (56-L.FLOYD).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,31,OWN,0,,0,,0,17,1087,0,0
2023123102,2023-12-31,2,11,9,NE,BUF,3,6,29,1,0,"(11:09) (SHOTGUN) 4-B.ZAPPE PASS SHORT MIDDLE TO 36-K.HARRIS TO NE 35 FOR 6 YARDS (56-L.FLOYD, 43-T.BERNARD). FUMBLES (56-L.FLOYD), RECOVERED BY BUF-31-R.DOUGLAS AT NE 36. 31-R.DOUGLAS TO NE 22 FOR 14 YARDS (83-J.REAGOR). THE REPLAY OFFICIAL REVIEWED THE FUMBLE RULING, AND THE PLAY WAS REVERSED. (SHOTGUN) 4-B.ZAPPE PASS SHORT MIDDLE TO 36-K.HARRIS TO NE 35 FOR 6 YARDS (56-L.FLOYD, 43-T.BERNARD).",0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,,29,OWN,0,,0,,0,17,1131,0,0
2023123102,2023-12-31,2,10,50,NE,BUF,1,10,35,0,0,(10:50) (SHOTGUN) 4-B.ZAPPE PASS INCOMPLETE DEEP MIDDLE TO 81-D.DOUGLAS (23-M.HYDE). RECEIVER AND COVERAGE AT BUF 39.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,17,1150,0,0
2023123102,2023-12-31,2,10,43,NE,BUF,2,10,35,1,0,(10:43) 4-B.ZAPPE PASS SHORT RIGHT TO 36-K.HARRIS TO BUF 17 FOR 48 YARDS (47-C.BENFORD).,0,2023,48,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,17,1157,0,0
2023123102,2023-12-31,2,9,51,NE,BUF,1,10,83,1,0,"(9:51) 4-B.ZAPPE SCRAMBLES LEFT TACKLE FOR 17 YARDS, TOUCHDOWN.",0,2023,17,UNDER CENTER,SCRAMBLE,1,0,0,1,,0,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,17,1209,0,0
2023123102,2023-12-31,2,9,44,BUF,NE,0,0,65,1,0,37-C.RYLAND KICKS 67 YARDS FROM NE 35 TO BUF -2. 26-T.JOHNSON TO BUF 18 FOR 20 YARDS (3-M.WILSON).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,17,1216,0,0
2023123102,2023-12-31,2,9,44,NE,BUF,0,0,85,1,0,"37-C.RYLAND EXTRA POINT IS GOOD, CENTER-49-J.CARDONA, HOLDER-17-B.BARINGER.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,17,1216,0,0
2023123102,2023-12-31,2,9,44,BUF,NE,0,0,100,1,0,TIMEOUT AT 09:44.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,1216,0,0
