GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NO,TB
2023123109,2023-12-31,4,10,43,NO,TB,3,8,48,0,0,(10:43) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT MIDDLE TO 83-J.JOHNSON (45-D.WHITE).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,17,2957,0,0
2023123109,2023-12-31,4,10,38,NO,TB,4,8,48,0,0,"(10:38) 39-L.HEDLEY PUNTS 43 YARDS TO TB 9, CENTER-49-Z.WOOD, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,17,2962,0,0
2023123109,2023-12-31,4,10,30,TB,NO,1,10,9,1,0,(10:30) (SHOTGUN) 6-B.MAYFIELD PASS DEEP RIGHT TO 13-M.EVANS PUSHED OB AT TB 44 FOR 35 YARDS (29-P.ADEBO).,0,2023,35,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,9,OWN,0,,0,,0,17,2970,0,0
2023123109,2023-12-31,4,10,1,TB,NO,1,10,44,0,0,(10:01) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT RIGHT TO 88-C.OTTON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,17,2999,0,0
2023123109,2023-12-31,4,9,55,TB,NO,2,10,44,1,0,(9:55) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 22-C.EDMONDS TO NO 42 FOR 14 YARDS (32-T.MATHIEU; 29-P.ADEBO).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,17,3005,0,0
2023123109,2023-12-31,4,9,25,TB,NO,1,10,58,0,0,"(9:25) (NO HUDDLE, SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT MIDDLE TO 14-C.GODWIN (53-Z.BAUN). NO-92-T.KPASSAGNON WAS INJURED DURING THE PLAY.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,17,3035,0,0
2023123109,2023-12-31,4,9,19,TB,NO,2,10,58,0,0,(9:19) (SHOTGUN) 6-B.MAYFIELD PASS SHORT LEFT TO 10-T.PALMER TO NO 44 FOR -2 YARDS (56-D.DAVIS).,0,2023,-2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,17,3041,0,0
2023123109,2023-12-31,4,8,57,TB,NO,3,12,56,0,0,"(8:57) (NO HUDDLE, SHOTGUN) 6-B.MAYFIELD PASS SHORT MIDDLE TO 1-R.WHITE TO NO 38 FOR 6 YARDS (24-J.ABRAM).",0,2023,6,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,17,3063,0,0
2023123109,2023-12-31,4,8,20,TB,NO,4,6,62,1,0,"(8:20) (SHOTGUN) 6-B.MAYFIELD PASS SHORT MIDDLE TO 14-C.GODWIN TO NO 22 FOR 16 YARDS (29-P.ADEBO, 32-T.MATHIEU).",0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,17,3100,0,0
2023123109,2023-12-31,4,7,56,TB,NO,1,10,78,1,0,"(7:56) (NO HUDDLE, SHOTGUN) 6-B.MAYFIELD PASS DEEP MIDDLE TO 10-T.PALMER FOR 22 YARDS, TOUCHDOWN.",0,2023,22,NO HUDDLE SHOTGUN,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,17,3124,0,0
2023123109,2023-12-31,4,7,50,NO,TB,0,0,65,1,0,5-J.CAMARDA KICKS 55 YARDS FROM TB 35 TO NO 10. 22-R.SHAHEED TO NO 37 FOR 27 YARDS (5-J.CAMARDA).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,17,3130,0,0
