GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,HOU,TEN
2023123104,2023-12-31,1,3,40,TEN,HOU,1,10,57,0,0,(3:40) (SHOTGUN) 8-W.LEVIS PASS INCOMPLETE SHORT LEFT TO 32-T.SPEARS (48-C.HARRIS) [94-K.DAVIS].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,17,680,0,0
2023123104,2023-12-31,1,3,34,TEN,HOU,2,10,57,0,0,"(3:34) (SHOTGUN) 32-T.SPEARS RIGHT GUARD TO HOU 48 FOR -5 YARDS (93-K.HINISH, 41-M.SANDERS).",0,2023,-5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,43,OPP,0,,0,,0,17,686,0,0
2023123104,2023-12-31,1,2,53,TEN,HOU,3,15,52,0,0,(2:53) (SHOTGUN) 8-W.LEVIS PASS INCOMPLETE DEEP RIGHT TO 11-C.MOORE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,17,727,0,0
2023123104,2023-12-31,1,2,47,TEN,HOU,4,15,52,0,0,"(2:47) 13-T.ZENTNER PUNTS 42 YARDS TO HOU 6, CENTER-46-M.COX, FAIR CATCH BY 2-R.WOODS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,17,733,0,0
2023123104,2023-12-31,1,2,40,HOU,TEN,1,10,6,0,0,(2:40) 26-D.SINGLETARY UP THE MIDDLE TO HOU 8 FOR 2 YARDS (99-R.WEAVER; 41-O.REESE).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,6,OWN,0,,0,,0,17,740,0,0
2023123104,2023-12-31,1,2,40,HOU,TEN,0,0,100,1,0,TIMEOUT AT 02:40.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,740,0,0
2023123104,2023-12-31,1,2,2,HOU,TEN,2,8,8,0,0,(2:02) (SHOTGUN) 7-C.STROUD PASS SHORT RIGHT TO 26-D.SINGLETARY PUSHED OB AT HOU 11 FOR 3 YARDS (24-E.MOLDEN) [58-H.LANDRY].,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,8,OWN,0,,0,,0,17,778,0,0
2023123104,2023-12-31,1,1,23,HOU,TEN,3,5,11,0,0,(1:23) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT RIGHT TO 86-D.SCHULTZ (0-S.MURPHY-BUNTING).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,17,817,0,0
2023123104,2023-12-31,1,1,9,HOU,TEN,1,10,16,0,0,(1:09) 31-D.PIERCE RIGHT END PUSHED OB AT HOU 20 FOR 4 YARDS (41-O.REESE).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,16,OWN,0,,0,,0,17,831,0,0
2023123104,2023-12-31,1,0,30,HOU,TEN,2,6,20,1,0,(:30) 7-C.STROUD PASS SHORT RIGHT TO 86-D.SCHULTZ TO HOU 27 FOR 7 YARDS (41-O.REESE).,0,2023,7,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,17,870,0,0
2023123104,2023-12-31,1,0,0,HOU,TEN,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,900,0,0
2023123104,2023-12-31,2,15,0,HOU,TEN,1,10,27,0,0,(15:00) 7-C.STROUD PASS SHORT MIDDLE TO 31-D.PIERCE TO HOU 32 FOR 5 YARDS (41-O.REESE; 2-A.AL-SHAAIR).,0,2023,5,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,17,900,0,0
2023123104,2023-12-31,2,14,18,HOU,TEN,2,5,32,1,0,(14:18) (SHOTGUN) 26-D.SINGLETARY LEFT END PUSHED OB AT TEN 44 FOR 24 YARDS (24-E.MOLDEN).,0,2023,24,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,32,OWN,0,,0,,0,17,942,0,0
2023123104,2023-12-31,2,13,36,HOU,TEN,1,10,56,0,0,(13:36) (SHOTGUN) 12-N.COLLINS LEFT END TO TEN 37 FOR 7 YARDS (58-H.LANDRY; 41-O.REESE).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,44,OPP,0,,0,,0,17,984,0,0
2023123104,2023-12-31,2,12,53,HOU,TEN,2,3,63,1,0,(12:53) 7-C.STROUD PASS SHORT LEFT TO 12-N.COLLINS TO TEN 27 FOR 10 YARDS (35-K.WALLACE).,0,2023,10,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,17,1027,0,0
2023123104,2023-12-31,2,12,14,HOU,TEN,1,10,73,0,0,"(12:14) 26-D.SINGLETARY UP THE MIDDLE TO TEN 25 FOR 2 YARDS (69-T.MCLENDON, 41-O.REESE).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,27,OPP,0,,0,,0,17,1066,0,0
2023123104,2023-12-31,2,11,32,HOU,TEN,2,8,75,0,0,(11:32) (SHOTGUN) 7-C.STROUD PASS SHORT RIGHT TO 26-D.SINGLETARY TO TEN 25 FOR NO GAIN (21-R.MCCREARY).,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,17,1108,0,0
2023123104,2023-12-31,2,10,53,HOU,TEN,3,8,75,1,0,(10:53) (SHOTGUN) 7-C.STROUD PASS SHORT RIGHT TO 12-N.COLLINS PUSHED OB AT TEN 12 FOR 13 YARDS (35-K.WALLACE).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,17,1147,0,0
2023123104,2023-12-31,2,10,14,HOU,TEN,1,10,88,1,0,"(10:14) 7-C.STROUD PASS SHORT LEFT TO 9-B.JORDAN FOR 12 YARDS, TOUCHDOWN.",0,2023,12,UNDER CENTER,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,17,1186,0,0
