GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CAR,JAX
2023123106,2023-12-31,1,8,40,JAX,CAR,4,16,83,0,0,"(8:40) 10-B.MCMANUS 35 YARD FIELD GOAL IS GOOD, CENTER-46-R.MATISCIK, HOLDER-9-L.COOKE.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,380,0,0
2023123106,2023-12-31,1,8,36,JAX,CAR,0,0,100,1,0,TIMEOUT AT 08:36.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,384,0,0
2023123106,2023-12-31,1,8,36,CAR,JAX,0,0,65,1,0,"10-B.MCMANUS KICKS 65 YARDS FROM JAX 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,384,0,0
2023123106,2023-12-31,1,8,36,CAR,JAX,1,10,25,0,0,(8:36) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 19-A.THIELEN TO CAR 33 FOR 8 YARDS (33-D.LLOYD).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,384,0,0
2023123106,2023-12-31,1,8,1,CAR,JAX,2,2,33,0,0,"(8:01) 30-C.HUBBARD LEFT GUARD TO CAR 33 FOR NO GAIN (44-T.WALKER, 41-J.ALLEN).",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,33,OWN,0,,0,,0,419,0,0
2023123106,2023-12-31,1,7,18,CAR,JAX,3,2,33,1,0,(7:18) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 11-I.SMITH-MARSETTE TO CAR 42 FOR 9 YARDS (26-A.JOHNSON).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,462,0,0
2023123106,2023-12-31,1,6,38,CAR,JAX,1,10,42,0,0,(6:38) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 30-C.HUBBARD TO CAR 48 FOR 6 YARDS (32-TY.CAMPBELL).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,502,0,0
2023123106,2023-12-31,1,5,57,CAR,JAX,2,4,48,1,0,(5:57) 30-C.HUBBARD LEFT GUARD TO JAX 45 FOR 7 YARDS (23-F.OLUOKUN).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,48,OWN,0,,0,,0,543,0,0
2023123106,2023-12-31,1,5,15,CAR,JAX,1,10,55,0,0,"(5:15) 6-M.SANDERS UP THE MIDDLE TO JAX 38 FOR 7 YARDS (32-TY.CAMPBELL, 5-A.CISCO).",0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,45,OPP,0,,0,,0,585,0,0
2023123106,2023-12-31,1,4,37,CAR,JAX,2,3,62,0,0,(4:37) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE SHORT RIGHT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,623,0,0
2023123106,2023-12-31,1,4,32,CAR,JAX,3,3,62,0,0,(4:32) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE SHORT LEFT TO 84-S.SULLIVAN (2-R.JENKINS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,628,0,0
2023123106,2023-12-31,1,4,26,CAR,JAX,4,3,62,1,0,(4:26) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 19-A.THIELEN PUSHED OB AT JAX 24 FOR 14 YARDS (5-A.CISCO) [23-F.OLUOKUN].,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,634,0,0
2023123106,2023-12-31,1,3,46,CAR,JAX,1,10,76,0,0,(3:46) 9-B.YOUNG PASS SHORT RIGHT TO 15-J.MINGO TO JAX 28 FOR -4 YARDS (32-TY.CAMPBELL).,0,2023,-4,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,674,0,0
2023123106,2023-12-31,1,3,0,CAR,JAX,2,14,72,0,0,(3:00) 30-C.HUBBARD UP THE MIDDLE TO JAX 21 FOR 7 YARDS (23-F.OLUOKUN; 93-T.LACY).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,28,OPP,0,,0,,0,720,0,0
2023123106,2023-12-31,1,2,18,CAR,JAX,3,7,79,0,0,(2:18) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE SHORT MIDDLE TO 82-T.TREMBLE (23-F.OLUOKUN).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,21,OPP,0,,0,,0,762,0,0
2023123106,2023-12-31,1,2,15,CAR,JAX,4,7,79,0,0,(2:15) (SHOTGUN) 9-B.YOUNG SACKED AT JAX 31 FOR -10 YARDS (95-R.ROBERTSON-HARRIS). CAR-9-B.YOUNG WAS INJURED DURING THE PLAY.,0,2023,-10,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,21,OPP,0,,0,,0,765,0,0
2023123106,2023-12-31,1,2,10,JAX,CAR,0,0,100,1,0,TIMEOUT AT 02:10.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,770,0,0
2023123106,2023-12-31,1,2,10,JAX,CAR,1,10,31,0,0,"(2:10) 4-T.BIGSBY UP THE MIDDLE TO JAX 35 FOR 4 YARDS (24-V.BELL, 97-Y.GROSS-MATOS).",0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,31,OWN,0,,0,,0,770,0,0
2023123106,2023-12-31,1,1,34,JAX,CAR,2,6,35,1,0,(1:34) 3-C.BEATHARD PASS SHORT RIGHT TO 1-T.ETIENNE TO JAX 43 FOR 8 YARDS (95-DER.BROWN; 40-D.JONES) [97-Y.GROSS-MATOS].,0,2023,8,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,806,0,0
2023123106,2023-12-31,1,0,59,JAX,CAR,1,10,43,0,0,"(:59) 1-T.ETIENNE LEFT END TO JAX 46 FOR 3 YARDS (0-B.BURNS, 24-V.BELL).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,43,OWN,0,,0,,0,841,0,0
2023123106,2023-12-31,1,0,24,JAX,CAR,2,7,46,0,0,(:24) 1-T.ETIENNE RIGHT END TO JAX 49 FOR 3 YARDS (98-M.HAYNES).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,46,OWN,0,,0,,0,876,0,0
2023123106,2023-12-31,1,0,0,JAX,CAR,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023123106,2023-12-31,2,15,0,JAX,CAR,3,4,49,0,0,(15:00) (SHOTGUN) 3-C.BEATHARD PASS INCOMPLETE SHORT RIGHT TO 0-C.RIDLEY.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,900,0,0
2023123106,2023-12-31,2,14,55,JAX,CAR,4,4,49,0,0,"(14:55) 9-L.COOKE PUNTS 37 YARDS TO CAR 14, CENTER-46-R.MATISCIK. 11-I.SMITH-MARSETTE TO CAR 22 FOR 8 YARDS (42-A.WINGARD).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,905,0,0
2023123106,2023-12-31,2,14,46,JAX,CAR,0,0,100,1,0,TIMEOUT AT 14:46.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,914,0,0
2023123106,2023-12-31,2,14,46,CAR,JAX,1,10,22,0,0,(14:46) 30-C.HUBBARD UP THE MIDDLE TO CAR 24 FOR 2 YARDS (41-J.ALLEN).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,22,OWN,0,,0,,0,914,0,0
2023123106,2023-12-31,2,14,2,CAR,JAX,2,8,24,0,0,(14:02) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE DEEP MIDDLE TO 15-J.MINGO.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,958,0,0
2023123106,2023-12-31,2,13,57,CAR,JAX,3,8,24,0,0,(13:57) (SHOTGUN) 9-B.YOUNG SACKED AT CAR 14 FOR -10 YARDS (44-T.WALKER).,0,2023,-10,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,963,0,0
2023123106,2023-12-31,2,13,14,CAR,JAX,4,18,14,0,0,"(13:14) 10-J.HEKKER PUNTS 48 YARDS TO JAX 38, CENTER-44-J.JANSEN, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,14,OWN,0,,0,,0,1006,0,0
2023123106,2023-12-31,2,13,5,JAX,CAR,0,0,100,1,0,TIMEOUT AT 13:05.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1015,0,0
2023123106,2023-12-31,2,13,5,JAX,CAR,1,10,38,1,0,(13:05) (SHOTGUN) 3-C.BEATHARD PASS SHORT RIGHT TO 0-C.RIDLEY PUSHED OB AT CAR 48 FOR 14 YARDS (26-D.JACKSON; 37-A.PARKER).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,1015,0,0
2023123106,2023-12-31,2,12,30,JAX,CAR,1,10,52,0,0,(12:30) 3-C.BEATHARD PASS SHORT RIGHT TO 1-T.ETIENNE TO CAR 40 FOR 8 YARDS (91-N.THURMAN).,0,2023,8,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,1050,0,0
