GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,NYJ,CLE
2023122800,2023-12-28,1,4,46,CLE,NYJ,1,7,93,1,0,"(4:46) 27-K.HUNT UP THE MIDDLE FOR 7 YARDS, TOUCHDOWN.",0,2023,7,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,CENTER,7,OPP,0,,0,,0,614,0,0
2023122800,2023-12-28,1,4,43,CLE,NYJ,0,0,85,1,0,"36-R.PATTERSON EXTRA POINT IS NO GOOD, WIDE RIGHT, CENTER-47-C.HUGHLETT, HOLDER-39-M.HAACK.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,617,0,0
2023122800,2023-12-28,1,4,43,CLE,NYJ,0,0,100,1,0,TIMEOUT AT 04:43.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,617,0,0
2023122800,2023-12-28,1,4,43,NYJ,CLE,0,0,65,1,0,"36-R.PATTERSON KICKS 63 YARDS FROM CLE 35 TO NYJ 2. 25-I.ABANIKANDA TO NYJ 14 FOR 12 YARDS (40-M.ADAMS). FUMBLES (40-M.ADAMS), TOUCHED AT NYJ 15, RECOVERED BY CLE-28-M.FORD AT NYJ 12.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,1,0,0,0,,35,OPP,0,,0,,0,617,0,0
2023122800,2023-12-28,1,4,37,CLE,NYJ,1,10,88,0,0,"(4:37) 15-J.FLACCO PASS SHORT RIGHT TO 19-C.TILLMAN TO NYJ 4 FOR 8 YARDS (44-J.SHERWOOD, 57-C.MOSLEY).",0,2023,8,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,623,0,0
2023122800,2023-12-28,1,4,13,CLE,NYJ,2,2,96,0,0,(4:13) 15-J.FLACCO PASS INCOMPLETE SHORT LEFT TO 19-C.TILLMAN.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,4,OPP,0,,0,,0,647,0,0
2023122800,2023-12-28,1,4,7,CLE,NYJ,3,2,96,0,0,(4:07) (SHOTGUN) 27-K.HUNT LEFT GUARD TO NYJ 6 FOR -2 YARDS (95-Q.WILLIAMS).,0,2023,-2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,4,OPP,0,,0,,0,653,0,0
2023122800,2023-12-28,1,3,28,CLE,NYJ,4,4,94,0,0,(3:28) (SHOTGUN) 15-J.FLACCO PASS INCOMPLETE SHORT MIDDLE TO 19-C.TILLMAN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,692,0,0
2023122800,2023-12-28,1,3,23,NYJ,CLE,1,10,6,0,0,(3:23) 20-BRE.HALL RIGHT TACKLE TO NYJ 14 FOR 8 YARDS (33-R.HICKMAN; 44-S.TAKITAKI).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,6,OWN,0,,0,,0,697,0,0
2023122800,2023-12-28,1,3,23,CLE,NYJ,0,0,100,1,0,TIMEOUT AT 03:23.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,697,0,0
