GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CHI,DEN
2023100103,2023-10-01,1,4,21,CHI,DEN,2,7,28,1,0,(4:21) (SHOTGUN) 1-J.FIELDS PASS SHORT MIDDLE TO 11-D.MOONEY TO CHI 44 FOR 16 YARDS (22-K.JACKSON).,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,639,0,0
2023100103,2023-10-01,1,3,45,CHI,DEN,1,10,44,0,0,(3:45) (SHOTGUN) 1-J.FIELDS LEFT END TO CHI 47 FOR 3 YARDS (49-A.SINGLETON).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,44,OWN,0,,0,,0,675,0,0
2023100103,2023-10-01,1,3,3,CHI,DEN,2,7,47,0,0,(3:03) (SHOTGUN) 24-K.HERBERT RIGHT GUARD TO CHI 49 FOR 2 YARDS (41-D.SANDERS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,47,OWN,0,,0,,0,717,0,0
2023100103,2023-10-01,1,2,21,CHI,DEN,3,5,49,0,0,(2:21) (SHOTGUN) 1-J.FIELDS PASS SHORT RIGHT TO 11-D.MOONEY PUSHED OB AT DEN 47 FOR 4 YARDS.,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,759,0,0
2023100103,2023-10-01,1,1,40,CHI,DEN,4,1,53,1,0,(1:40) DIRECT SNAP TO 85-C.KMET.  85-C.KMET UP THE MIDDLE TO DEN 46 FOR 1 YARD (0-J.COOPER; 49-A.SINGLETON).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,47,OPP,0,,0,,0,800,0,0
2023100103,2023-10-01,1,0,49,CHI,DEN,1,10,54,0,0,(:49) 24-K.HERBERT RIGHT END TO DEN 43 FOR 3 YARDS (92-J.HARRIS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,46,OPP,0,,0,,0,851,0,0
2023100103,2023-10-01,1,0,7,CHI,DEN,2,7,57,1,0,(:07) (SHOTGUN) 1-J.FIELDS PASS SHORT LEFT TO 11-D.MOONEY PUSHED OB AT DEN 29 FOR 14 YARDS (32-D.TURNER-YELL).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,893,0,0
2023100103,2023-10-01,1,0,0,CHI,DEN,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023100103,2023-10-01,2,15,0,CHI,DEN,1,10,71,1,0,"(15:00) (SHOTGUN) 1-J.FIELDS PASS DEEP RIGHT TO 2-D.MOORE FOR 29 YARDS, TOUCHDOWN. THE REPLAY OFFICIAL REVIEWED THE PASS COMPLETION RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS.",0,2023,29,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,900,0,0
2023100103,2023-10-01,2,14,53,CHI,DEN,0,0,85,1,0,"8-C.SANTOS EXTRA POINT IS GOOD, CENTER-48-P.SCALES, HOLDER-16-T.GILL.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,907,0,0
2023100103,2023-10-01,2,14,53,DEN,CHI,0,0,65,1,0,"8-C.SANTOS KICKS 65 YARDS FROM CHI 35 TO DEN 0. 19-M.MIMS MUFFS CATCH, AND RECOVERS AT DEN 4. 19-M.MIMS TO DEN 4 FOR NO GAIN (20-T.HOMER).",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,907,0,0
2023100103,2023-10-01,2,14,48,DEN,CHI,1,10,4,0,0,"(14:48) 3-R.WILSON PASS SHORT MIDDLE TO 33-J.WILLIAMS TO DEN 6 FOR 2 YARDS (53-T.EDWARDS, 49-T.EDMUNDS).",0,2023,2,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,4,OWN,0,,0,,0,912,0,0
2023100103,2023-10-01,2,14,5,DEN,CHI,2,8,6,0,0,"(14:05) 33-J.WILLIAMS RIGHT END TO DEN 7 FOR 1 YARD (53-T.EDWARDS). PENALTY ON DEN-82-A.TRAUTMAN, OFFENSIVE HOLDING, DECLINED.",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT END,6,OWN,0,DEN,0,OFFENSIVE HOLDING,0,955,0,0
2023100103,2023-10-01,2,13,38,DEN,CHI,3,7,7,0,0,(13:38) (SHOTGUN) 3-R.WILSON PASS SHORT LEFT TO 19-M.MIMS TO DEN 6 FOR -1 YARDS (27-G.STROMAN).,0,2023,-1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,7,OWN,0,,0,,0,982,0,0
2023100103,2023-10-01,2,13,38,DEN,CHI,0,0,100,1,0,TIMEOUT #1 BY DEN AT 13:38.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,982,0,0
2023100103,2023-10-01,2,13,7,DEN,CHI,4,8,6,0,0,"(13:07) 9-R.DIXON PUNTS 38 YARDS TO DEN 44, CENTER-48-M.FRABONI, FAIR CATCH BY 15-T.TAYLOR.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,6,OWN,0,,0,,0,1013,0,0
2023100103,2023-10-01,2,13,0,CHI,DEN,1,15,51,1,0,(13:00) (SHOTGUN) 1-J.FIELDS PASS SHORT LEFT TO 2-D.MOORE RAN OB AT DEN 25 FOR 24 YARDS (27-D.MATHIS).,0,2023,24,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,1020,0,0
2023100103,2023-10-01,2,13,0,CHI,DEN,0,0,100,1,0,TIMEOUT AT 13:00.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1020,0,0
2023100103,2023-10-01,2,13,0,CHI,DEN,1,10,56,0,0,"(13:00) (SHOTGUN) PENALTY ON CHI-13-T.SCOTT, FALSE START, 5 YARDS, ENFORCED AT DEN 44 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,44,OPP,1,CHI,1,FALSE START,5,1020,0,0
2023100103,2023-10-01,2,12,28,CHI,DEN,1,10,75,0,0,(12:28) (SHOTGUN) 23-R.JOHNSON RIGHT END TO DEN 22 FOR 3 YARDS (49-A.SINGLETON; 27-D.MATHIS).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,25,OPP,0,,0,,0,1052,0,0
