GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,HOU,PIT
2023100105,2023-10-01,1,6,58,PIT,HOU,2,6,34,0,0,"(6:58) (SHOTGUN) 19-C.AUSTIN LEFT END TO PIT 39 FOR 5 YARDS (21-S.NELSON, 48-C.HARRIS).",0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,34,OWN,0,,0,,0,4,482,0,0
2023100105,2023-10-01,1,6,22,PIT,HOU,3,1,39,1,0,(6:22) 8-K.PICKETT UP THE MIDDLE TO PIT 40 FOR 1 YARD (55-J.HUGHES).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,39,OWN,0,,0,,0,4,518,0,0
2023100105,2023-10-01,1,5,43,PIT,HOU,1,10,40,0,0,(5:43) 8-K.PICKETT SACKED AT PIT 32 FOR -8 YARDS (55-J.HUGHES).,0,2023,-8,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,4,557,0,0
2023100105,2023-10-01,1,5,1,PIT,HOU,2,18,32,0,0,"(5:01) (SHOTGUN) 8-K.PICKETT PASS DEEP MIDDLE INTENDED FOR 19-C.AUSTIN INTERCEPTED BY 21-S.NELSON AT HOU 22. 21-S.NELSON TO PIT 45 FOR 33 YARDS (11-A.ROBINSON). PENALTY ON PIT-76-C.OKORAFOR, OFFENSIVE HOLDING, DECLINED. PENALTY ON HOU-42-C.LITTLETON, UNNECESSARY ROUGHNESS, OFFSETTING. PENALTY ON PIT-14-G.PICKENS, UNNECESSARY ROUGHNESS, OFFSETTING.",0,2023,33,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,1,0,1,0,0,,32,OWN,0,PIT,0,OFFENSIVE HOLDING,0,4,599,0,0
2023100105,2023-10-01,1,4,46,HOU,PIT,0,0,100,1,0,TIMEOUT AT 04:46.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,614,0,0
2023100105,2023-10-01,1,4,46,HOU,PIT,1,10,55,0,0,(4:46) (SHOTGUN) 31-D.PIERCE LEFT END RAN OB AT PIT 37 FOR 8 YARDS (55-C.HOLCOMB).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,45,OPP,0,,0,,0,4,614,0,0
2023100105,2023-10-01,1,4,18,HOU,PIT,2,2,63,1,0,(4:18) (NO HUDDLE) 31-D.PIERCE RIGHT GUARD TO PIT 34 FOR 3 YARDS (54-K.ALEXANDER; 55-C.HOLCOMB).,0,2023,3,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,37,OPP,0,,0,,0,4,642,0,0
2023100105,2023-10-01,1,3,42,HOU,PIT,1,10,66,0,0,(3:42) 7-C.STROUD PASS INCOMPLETE DEEP LEFT.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,4,678,0,0
2023100105,2023-10-01,1,3,34,HOU,PIT,2,10,66,0,0,(3:34) (SHOTGUN) 3-N.DELL LEFT END PUSHED OB AT PIT 27 FOR 7 YARDS (29-L.WALLACE).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,34,OPP,0,,0,,0,4,686,0,0
2023100105,2023-10-01,1,2,57,HOU,PIT,3,3,73,1,0,(2:57) (SHOTGUN) 7-C.STROUD PASS SHORT RIGHT TO 2-R.WOODS TO PIT 22 FOR 5 YARDS (20-P.PETERSON).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,4,723,0,0
2023100105,2023-10-01,1,2,16,HOU,PIT,1,10,78,0,0,(2:16) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT MIDDLE TO 3-N.DELL (29-L.WALLACE) [50-E.ROBERTS].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,4,764,0,0
2023100105,2023-10-01,1,2,10,HOU,PIT,2,10,78,0,0,(2:10) 31-D.PIERCE UP THE MIDDLE TO PIT 18 FOR 4 YARDS (39-M.FITZPATRICK; 56-A.HIGHSMITH).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,22,OPP,0,,0,,0,4,770,0,0
2023100105,2023-10-01,1,1,28,HOU,PIT,3,6,82,0,0,(1:28) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE DEEP LEFT TO 2-R.WOODS [56-A.HIGHSMITH].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,4,812,0,0
2023100105,2023-10-01,1,1,23,HOU,PIT,4,6,82,0,0,"(1:23) 15-K.FAIRBAIRN 36 YARD FIELD GOAL IS GOOD, CENTER-46-J.WEEKS, HOLDER-16-T.ZENTNER.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,4,817,0,0
2023100105,2023-10-01,1,1,20,PIT,HOU,1,10,25,0,0,"(1:20) (SHOTGUN) 8-K.PICKETT PASS SHORT RIGHT TO 14-G.PICKENS TO PIT 28 FOR 3 YARDS (0-S.GRIFFIN, 1-J.WARD). FUMBLES (1-J.WARD), BALL OUT OF BOUNDS AT PIT 28.",0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,,25,OWN,0,,0,,0,4,820,0,0
2023100105,2023-10-01,1,1,20,PIT,HOU,0,0,65,1,0,"15-K.FAIRBAIRN KICKS 65 YARDS FROM HOU 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,4,820,0,0
2023100105,2023-10-01,1,1,20,HOU,PIT,0,0,100,1,0,TIMEOUT AT 01:20.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,820,0,0
2023100105,2023-10-01,1,0,52,PIT,HOU,2,7,28,0,0,(:52) 22-N.HARRIS RIGHT TACKLE TO PIT 25 FOR -3 YARDS (39-H.TO'OTO'O).,0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,28,OWN,0,,0,,0,4,848,0,0
2023100105,2023-10-01,1,0,14,PIT,HOU,3,10,25,0,0,(:14) (SHOTGUN) 8-K.PICKETT PASS SHORT RIGHT TO 30-J.WARREN TO PIT 27 FOR 2 YARDS (98-S.RANKINS; 39-H.TO'OTO'O) [52-J.GREENARD].,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,4,886,0,0
2023100105,2023-10-01,2,15,0,PIT,HOU,4,8,27,0,0,"(15:00) 3-B.WING PUNTS 41 YARDS TO HOU 32, CENTER-46-C.KUNTZ. 3-N.DELL MUFFS CATCH, AND RECOVERS AT HOU 32. 3-N.DELL TO HOU 32 FOR NO GAIN (51-NI.HERBIG).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,4,900,0,0
2023100105,2023-10-01,1,0,0,PIT,HOU,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,900,0,0
2023100105,2023-10-01,2,14,52,HOU,PIT,1,10,32,0,0,(14:52) (SHOTGUN) 31-D.PIERCE UP THE MIDDLE TO HOU 35 FOR 3 YARDS (50-E.ROBERTS; 95-K.BENTON).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,32,OWN,0,,0,,0,4,908,0,0
