GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,PHI,WAS
2023100108,2023-10-01,1,0,34,WAS,PHI,1,10,35,0,0,(:34) (SHOTGUN) 24-A.GIBSON UP THE MIDDLE TO WAS 36 FOR 1 YARD (94-J.SWEAT).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,35,OWN,0,,0,,0,4,866,0,0
2023100108,2023-10-01,2,15,0,WAS,PHI,2,9,36,0,0,(15:00) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 17-T.MCLAURIN RAN OB AT WAS 41 FOR 5 YARDS (2-D.SLAY).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,4,900,0,0
2023100108,2023-10-01,1,0,0,WAS,PHI,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,900,0,0
2023100108,2023-10-01,2,14,22,WAS,PHI,3,4,41,1,0,(14:22) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 17-T.MCLAURIN TO PHI 35 FOR 24 YARDS (32-R.BLANKENSHIP).,0,2023,24,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,4,938,0,0
2023100108,2023-10-01,2,13,40,WAS,PHI,1,10,65,0,0,"(13:40) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE DEEP RIGHT TO 2-D.BROWN. PENALTY ON PHI-3-N.SMITH, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT PHI 35 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,35,OPP,1,PHI,1,DEFENSIVE OFFSIDE,5,4,980,0,0
2023100108,2023-10-01,2,13,34,WAS,PHI,1,5,70,0,0,"(13:34) (SHOTGUN) 14-S.HOWELL PASS DEEP MIDDLE TO 82-L.THOMAS TO PHI 3 FOR 27 YARDS (32-R.BLANKENSHIP; 26-T.EDMUNDS). PENALTY ON PHI-26-T.EDMUNDS, UNNECESSARY ROUGHNESS, 2 YARDS, ENFORCED AT PHI 3.",0,2023,27,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,1,0,0,,30,OPP,1,PHI,0,UNNECESSARY ROUGHNESS,2,4,986,0,0
2023100108,2023-10-01,2,13,13,WAS,PHI,1,1,99,0,0,(13:13) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE SHORT RIGHT TO 1-J.DOTSON (55-B.GRAHAM) [55-B.GRAHAM].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,1,OPP,0,,0,,0,4,1007,0,0
2023100108,2023-10-01,2,13,8,WAS,PHI,2,1,99,0,0,"(13:08) (SHOTGUN) 8-B.ROBINSON LEFT END TO PHI 1 FOR NO GAIN (41-N.MORROW; 24-J.BRADBERRY). FUMBLES (41-N.MORROW), RECOVERED BY WAS-17-T.MCLAURIN AT PHI -4. TOUCHDOWN.",0,2023,0,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,1,0,0,0,LEFT END,1,OPP,0,,0,,0,4,1012,0,0
2023100108,2023-10-01,2,12,56,PHI,WAS,1,10,25,0,0,(12:56) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE SHORT RIGHT TO 11-A.BROWN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,4,1024,0,0
2023100108,2023-10-01,2,12,56,WAS,PHI,0,0,85,1,0,"6-J.SLYE EXTRA POINT IS GOOD, CENTER-54-C.CHEESEMAN, HOLDER-5-T.WAY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,4,1024,0,0
