GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,TB,NO
2023100107,2023-10-01,1,6,12,TB,NO,3,16,47,0,0,(6:12) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 1-R.WHITE TO NO 43 FOR 10 YARDS (23-M.LATTIMORE).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,528,0,0
2023100107,2023-10-01,1,5,27,TB,NO,4,6,57,0,0,"(5:27) 5-J.CAMARDA PUNTS 27 YARDS TO NO 16, CENTER-97-Z.TRINER, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,573,0,0
2023100107,2023-10-01,1,5,20,NO,TB,1,10,16,0,0,(5:20) 4-D.CARR PASS INCOMPLETE DEEP LEFT TO 13-M.THOMAS.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,16,OWN,0,,0,,0,580,0,0
2023100107,2023-10-01,1,5,20,NO,TB,0,0,100,1,0,TIMEOUT AT 05:20.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,580,0,0
2023100107,2023-10-01,1,5,15,NO,TB,2,10,16,0,0,(5:15) (SHOTGUN) 67-L.YOUNG REPORTED IN AS ELIGIBLE.  7-T.HILL LEFT TACKLE TO NO 17 FOR 1 YARD (31-A.WINFIELD).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,16,OWN,0,,0,,0,585,0,0
2023100107,2023-10-01,1,4,37,NO,TB,3,9,17,0,0,(4:37) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT LEFT TO 46-A.PRENTICE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,623,0,0
2023100107,2023-10-01,1,4,30,NO,TB,4,9,17,0,0,"(4:30) 39-L.HEDLEY PUNTS 36 YARDS TO TB 47, CENTER-49-Z.WOOD, FAIR CATCH BY 83-D.THOMPKINS. PENALTY ON TB-51-J.RUSSELL, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT TB 47. INJURY UPDATE: TB 23-R.NEAL, CONCUSSION, OUT.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,17,OWN,1,TB,0,OFFENSIVE HOLDING,10,630,0,0
2023100107,2023-10-01,1,4,24,NO,TB,0,0,100,1,0,TIMEOUT AT 04:24.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,636,0,0
2023100107,2023-10-01,1,4,24,TB,NO,1,10,37,0,0,"(4:24) (SHOTGUN) 1-R.WHITE RIGHT GUARD TO TB 40 FOR 3 YARDS (93-N.SHEPHERD, 99-K.SAUNDERS).",0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,37,OWN,0,,0,,0,636,0,0
2023100107,2023-10-01,1,3,51,TB,NO,2,7,40,0,0,(3:51) 6-B.MAYFIELD PASS INCOMPLETE DEEP RIGHT TO 14-C.GODWIN.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,669,0,0
