GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,TEN,CIN
2023100109,2023-10-01,1,3,29,TEN,CIN,1,10,69,0,0,"(3:29) (SHOTGUN) 22-D.HENRY RIGHT GUARD TO CIN 30 FOR 1 YARD (94-S.HUBBARD, 91-T.HENDRICKSON).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,31,OPP,0,,0,,0,691,0,0
2023100109,2023-10-01,1,2,46,TEN,CIN,2,9,70,0,0,(2:46) (SHOTGUN) 17-R.TANNEHILL PASS SHORT LEFT TO 15-N.WESTBROOK-IKHINE TO CIN 24 FOR 6 YARDS (21-M.HILTON) [94-S.HUBBARD].,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,734,0,0
2023100109,2023-10-01,1,2,5,TEN,CIN,3,3,76,0,0,(2:05) (SHOTGUN) 17-R.TANNEHILL SACKED AT CIN 35 FOR -11 YARDS (SACK SPLIT BY 92-B.HILL AND 91-T.HENDRICKSON).,0,2023,-11,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,775,0,0
2023100109,2023-10-01,1,1,27,TEN,CIN,4,14,65,0,0,"(1:27) 6-N.FOLK 53 YARD FIELD GOAL IS GOOD, CENTER-46-M.COX, HOLDER-4-R.STONEHOUSE.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,813,0,0
2023100109,2023-10-01,1,1,24,CIN,TEN,0,0,65,1,0,"6-N.FOLK KICKS 65 YARDS FROM TEN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,816,0,0
2023100109,2023-10-01,1,1,24,CIN,TEN,1,10,25,0,0,(1:24) (SHOTGUN) 28-J.MIXON LEFT TACKLE TO CIN 32 FOR 7 YARDS (26-K.FULTON).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,25,OWN,0,,0,,0,816,0,0
2023100109,2023-10-01,1,1,24,TEN,CIN,0,0,100,1,0,TIMEOUT AT 01:24.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,816,0,0
2023100109,2023-10-01,1,0,45,CIN,TEN,2,3,32,0,0,(:45) (SHOTGUN) 9-J.BURROW PASS INCOMPLETE SHORT LEFT TO 1-J.CHASE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,855,0,0
2023100109,2023-10-01,1,0,43,CIN,TEN,3,3,32,0,0,"(:43) (SHOTGUN) 9-J.BURROW PASS INCOMPLETE SHORT LEFT TO 83-T.BOYD. PENALTY ON TEN-21-R.MCCREARY, DEFENSIVE PASS INTERFERENCE, 2 YARDS, ENFORCED AT CIN 32 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,32,OWN,1,TEN,1,DEFENSIVE PASS INTERFERENCE,2,857,0,0
2023100109,2023-10-01,1,0,39,CIN,TEN,1,10,34,0,0,(:39) (SHOTGUN) 9-J.BURROW PASS INCOMPLETE SHORT LEFT TO 5-T.HIGGINS (26-K.FULTON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,861,0,0
2023100109,2023-10-01,1,0,33,CIN,TEN,2,10,34,1,0,(:33) (SHOTGUN) 9-J.BURROW PASS SHORT LEFT TO 1-J.CHASE PUSHED OB AT CIN 46 FOR 12 YARDS (2-A.AL-SHAAIR) [49-A.KEY].,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,867,0,0
