GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,JAX,ATL
2023100100,2023-10-01,1,5,44,ATL,JAX,1,10,25,0,0,(5:44) (SHOTGUN) 9-D.RIDDER SACKED AT ATL 25 FOR 0 YARDS (44-T.WALKER).,0,2023,0,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,4,556,0,0
2023100100,2023-10-01,1,5,44,JAX,ATL,0,0,85,1,0,"10-B.MCMANUS EXTRA POINT IS GOOD, CENTER-46-R.MATISCIK, HOLDER-9-L.COOKE.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,4,556,0,0
2023100100,2023-10-01,1,5,44,ATL,JAX,0,0,65,1,0,"10-B.MCMANUS KICKS 65 YARDS FROM JAX 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,4,556,0,0
2023100100,2023-10-01,1,5,44,JAX,ATL,0,0,100,1,0,TIMEOUT AT 05:44.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,556,0,0
2023100100,2023-10-01,1,5,8,ATL,JAX,2,10,25,0,0,(5:08) (SHOTGUN) 9-D.RIDDER PASS SHORT RIGHT TO 7-B.ROBINSON TO ATL 29 FOR 4 YARDS (31-DARI.WILLIAMS).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,4,592,0,0
2023100100,2023-10-01,1,4,29,ATL,JAX,3,6,29,0,0,"(4:29) (SHOTGUN) PENALTY ON JAX-45-K.CHAISSON, NEUTRAL ZONE INFRACTION, 5 YARDS, ENFORCED AT ATL 29 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,29,OWN,1,JAX,1,NEUTRAL ZONE INFRACTION,5,4,631,0,0
2023100100,2023-10-01,1,4,12,ATL,JAX,3,1,34,0,0,(4:12) (SHOTGUN) 9-D.RIDDER SACKED AT ATL 26 FOR -8 YARDS (41-J.ALLEN).,0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,4,648,0,0
2023100100,2023-10-01,1,3,32,ATL,JAX,4,9,26,0,0,"(3:32) 13-B.PINION PUNTS 58 YARDS TO JAX 16, CENTER-49-L.MCCULLOUGH, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,4,688,0,0
2023100100,2023-10-01,1,3,23,JAX,ATL,1,10,16,0,0,(3:23) 16-T.LAWRENCE PASS SHORT RIGHT TO 1-T.ETIENNE TO JAX 24 FOR 8 YARDS (20-D.ALFORD).,0,2023,8,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,16,OWN,0,,0,,0,4,697,0,0
2023100100,2023-10-01,1,3,23,JAX,ATL,0,0,100,1,0,TIMEOUT AT 03:23.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,697,0,0
