GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,KC,NYJ
2023100113,2023-10-01,1,8,24,NYJ,KC,1,10,21,1,0,(8:24) 20-BRE.HALL RIGHT GUARD TO NYJ 32 FOR 11 YARDS (22-T.MCDUFFIE).,0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,21,OWN,0,,0,,0,4,396,0,0
2023100113,2023-10-01,1,7,45,NYJ,KC,1,10,32,0,0,(7:45) 2-Z.WILSON PASS SHORT RIGHT TO 20-BRE.HALL TO NYJ 39 FOR 7 YARDS (20-J.REID).,0,2023,7,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,4,435,0,0
2023100113,2023-10-01,1,7,7,NYJ,KC,2,3,39,0,0,"(7:07) 33-D.COOK RIGHT GUARD TO NYJ 41 FOR 2 YARDS (91-D.NNADI, 51-M.DANNA).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,39,OWN,0,,0,,0,4,473,0,0
2023100113,2023-10-01,1,6,22,NYJ,KC,3,1,41,0,0,(6:22) (SHOTGUN) 2-Z.WILSON PASS INCOMPLETE SHORT LEFT TO 83-T.CONKLIN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,4,518,0,0
2023100113,2023-10-01,1,6,18,NYJ,KC,4,1,41,0,0,"(6:18) 5-T.MORSTEAD PUNTS 48 YARDS TO KC 11, CENTER-42-T.HENNESSY, FAIR CATCH BY 12-M.WASHINGTON.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,4,522,0,0
2023100113,2023-10-01,1,6,12,KC,NYJ,1,10,11,0,0,(6:12) (SHOTGUN) 10-I.PACHECO UP THE MIDDLE TO KC 17 FOR 6 YARDS (57-C.MOSLEY).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,11,OWN,0,,0,,0,4,528,0,0
2023100113,2023-10-01,1,6,12,NYJ,KC,0,0,100,1,0,TIMEOUT AT 06:12.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,528,0,0
2023100113,2023-10-01,1,5,41,KC,NYJ,2,4,17,1,0,(5:41) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 87-T.KELCE TO KC 25 FOR 8 YARDS (95-Q.WILLIAMS).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,4,559,0,0
2023100113,2023-10-01,1,5,7,KC,NYJ,1,10,25,0,0,"(5:07) (SHOTGUN) 15-P.MAHOMES PASS SHORT RIGHT TO 10-I.PACHECO PUSHED OB AT NYJ 42 FOR 33 YARDS (3-J.WHITEHEAD). PENALTY ON NYJ-56-QU.WILLIAMS, DEFENSIVE HOLDING, DECLINED. PENALTY ON NYJ-4-D.REED, ILLEGAL CONTACT, DECLINED.",0,2023,33,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,25,OWN,0,NYJ,0,DEFENSIVE HOLDING,0,4,593,0,0
2023100113,2023-10-01,1,4,44,KC,NYJ,1,10,58,0,0,(4:44) (SHOTGUN) 25-C.EDWARDS-HELAIRE RIGHT GUARD TO NYJ 33 FOR 9 YARDS (72-M.CLEMONS).,0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,42,OPP,0,,0,,0,4,616,0,0
